env_steps,return,length,train/length,train/return,FPS,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
25834,,,14,12.8342,89.9121,,,,,,,
25857,,,23,26.2917,90.3673,,,,,,,
25891,,,34,43.5741,89.7728,,,,,,,
25899,,,8,5.8575,90.1618,,,,,,,
25907,,,8,6.1032,90.2045,,,,,,,
26000,,,,,,-241.7165,19.4971,0.0004,-0.0146,100.8702,3013.6479,2.7282
26081,,,174,461.7381,83.4256,,,,,,,
26092,,,11,8.4906,82.4816,,,,,,,
26269,,,177,479.4297,85.4592,,,,,,,
26396,,,127,310.0155,83.9456,,,,,,,
26416,,,20,21.7393,83.7743,,,,,,,
26426,,,10,8.0946,83.6022,,,,,,,
26500,,,,,,-246.673,18.2262,0.0009,-0.0135,147.1624,6344.6333,7.1164
26625,,,199,555.4586,86.3374,,,,,,,
26634,,,9,7.1187,83.7805,,,,,,,
26766,,,132,313.6606,83.6869,,,,,,,
26778,,,12,11.1638,83.9157,,,,,,,
26788,,,10,8.6807,83.7961,,,,,,,
26805,,,17,16.8737,84.0429,,,,,,,
26844,,,39,53.9693,83.0438,,,,,,,
26854,,,10,8.7763,83.8241,,,,,,,
26863,,,9,6.1125,83.6209,,,,,,,
27000,,,,,,-246.0759,13.2985,0.0004,-0.0123,93.7215,2015.7877,4.4003
27033,,,170,474.8179,83.8461,,,,,,,
27047,,,14,13.2318,82.329,,,,,,,
27061,,,14,13.5843,82.4748,,,,,,,
27087,,,26,30.5797,82.3698,,,,,,,
27149,,,62,100.7359,83.9166,,,,,,,
27159,,,10,7.4861,83.7086,,,,,,,
27167,,,8,6.4066,83.5167,,,,,,,
27204,,,37,51.325,83.8044,,,,,,,
27241,,,37,49.7909,83.5952,,,,,,,
27258,,,17,16.1747,83.9451,,,,,,,
27437,,,179,502.6159,83.6234,,,,,,,
27500,,,,,,-247.908,10.6061,0.0003,-0.0126,108.0695,3287.4424,8.1172
27624,,,187,508.5663,83.6643,,,,,,,
27655,,,31,38.8936,83.8413,,,,,,,
27663,,,8,5.3935,83.5773,,,,,,,
27679,,,16,16.0984,83.607,,,,,,,
27688,,,9,6.4644,84.1276,,,,,,,
27722,,,34,43.9528,83.6877,,,,,,,
27732,,,10,7.3345,83.582,,,,,,,
