env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
37213,,,157,340.6455,104.5847,,,,,,,
37226,,,13,14.6604,106.2253,,,,,,,
37258,,,32,47.7211,106.2595,,,,,,,
37284,,,26,36.2124,105.9054,,,,,,,
37311,,,27,37.1423,105.6614,,,,,,,
37327,,,16,19.8376,105.8101,,,,,,,
37347,,,20,26.0998,105.4577,,,,,,,
37365,,,18,23.2862,106.3724,,,,,,,
37392,,,27,38.3695,105.568,,,,,,,
37409,,,17,21.1367,106.3887,,,,,,,
37439,,,30,44.0147,103.5555,,,,,,,
37458,,,19,24.5623,106.0846,,,,,,,
37500,,,,,,0.0047,-175.5785,4.1383,0.0047,41.1026,1521.259,4.2586
37607,,,149,338.503,105.8731,,,,,,,
37638,,,31,45.2737,106.1726,,,,,,,
37793,,,155,338.9108,106.2652,,,,,,,
37944,,,151,335.0475,106.2063,,,,,,,
37960,,,16,20.056,104.6783,,,,,,,
38000,,,,,,0.0045,-175.8773,8.1916,0.0045,53.5314,1446.9851,9.1503
38139,,,179,373.0197,106.0351,,,,,,,
38158,,,19,24.5194,105.6538,,,,,,,
38176,,,18,22.6189,105.5217,,,,,,,
38194,,,18,24.1036,105.6315,,,,,,,
38227,,,33,47.674,106.017,,,,,,,
38243,,,16,19.1817,106.2686,,,,,,,
38274,,,31,44.6174,105.9512,,,,,,,
38290,,,16,19.6669,105.9738,,,,,,,
38306,,,16,20.663,104.6269,,,,,,,
38452,,,146,335.5081,105.0353,,,,,,,
38469,,,17,19.6807,106.4258,,,,,,,
38485,,,16,20.3409,105.4635,,,,,,,
