env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
100000,,,,,,,,,,1000,4880.6633,73.3548
100500,,,-319.0201,4.0741,0.0024,-0.0387,2.7986,95.2631,5.3539,,,
101000,,,-324.5284,4.0193,0.0022,-0.0363,2.6718,136.8021,4.3375,,,
101000,,,,,,,,,,1000,4940.7218,80.6143
101500,,,-329.4612,4.1075,0.0023,-0.0381,2.8743,118.6299,5.3629,,,
102000,,,-334.3429,3.6339,0.0022,-0.0361,2.3203,111.331,4.3744,,,
102000,,,,,,,,,,1000,4882.7593,82.6004
102500,,,-332.8554,3.6094,0.0021,-0.0349,2.2551,194.7082,5.3252,,,
103000,,,-337.8461,3.5147,0.0021,-0.035,2.058,132.487,4.1847,,,
103000,,,,,,,,,,1000,5059.0221,83.472
103500,,,-337.7516,4.7326,0.0023,-0.0384,2.4845,104.7956,7.2017,,,
104000,,,-340.0381,4.2124,0.0024,-0.0378,2.5009,124.3686,4.2596,,,
104000,,,,,,,,,,1000,5030.0063,81.5808
104500,,,-339.2617,3.9491,0.0019,-0.0337,2.5485,161.8999,6.9489,,,
105000,,,-340.9533,4.3081,0.0023,-0.0388,2.3257,159.0182,8.1315,,,
105000,5497.0121,1000.0,,,,,,,,,,
105000,,,,,,,,,,1000,5136.8706,75.4081
105500,,,-342.125,3.7825,0.0019,-0.0333,2.2961,164.0201,5.1403,,,
106000,,,-346.6458,3.1857,0.002,-0.0356,2.9142,420.8769,4.6704,,,
106000,,,,,,,,,,1000,5316.5401,82.1446
106500,,,-353.2687,4.7189,0.0022,-0.0373,2.6945,181.8697,6.4136,,,
107000,,,-348.1819,4.0565,0.002,-0.0346,3.0002,322.9818,5.9489,,,
107000,,,,,,,,,,1000,5056.3095,82.3402
107500,,,-349.3264,3.2826,0.0022,-0.0362,2.2607,122.317,5.6248,,,
108000,,,-358.3626,3.9829,0.002,-0.0352,2.5459,277.5041,5.9454,,,
108000,,,,,,,,,,1000,5201.9238,81.0334
108500,,,-356.2987,3.4784,0.0018,-0.0329,2.533,175.2781,5.0616,,,
109000,,,-362.5323,4.7601,0.0022,-0.0373,2.5635,136.3367,4.3717,,,
109000,,,,,,,,,,1000,5265.4447,83.347
109500,,,-366.1245,4.2863,0.0023,-0.0371,3.1431,232.1729,5.3815,,,
110000,,,-366.2757,4.5938,0.002,-0.034,2.7945,171.5572,4.9724,,,
110000,5231.8002,1000.0,,,,,,,,,,
110000,,,,,,,,,,1000,5281.0865,72.2493
110500,,,-364.9733,3.9367,0.0023,-0.0369,2.6849,158.3672,7.1655,,,
111000,,,-369.9136,4.3295,0.0023,-0.0363,2.9584,125.1039,3.5959,,,
111000,,,,,,,,,,1000,5273.1076,82.0806
111500,,,-378.2779,6.511,0.002,-0.0352,2.9611,198.465,8.9033,,,
112000,,,-380.8386,5.1949,0.0021,-0.0357,3.1194,280.231,3.954,,,
112000,,,,,,,,,,1000,5301.8502,82.2855
112500,,,-376.5487,4.0125,0.0019,-0.034,2.9487,112.9672,6.7634,,,
113000,,,-388.8246,4.5987,0.0021,-0.0356,3.7469,165.0161,6.6214,,,
113000,,,,,,,,,,1000,5224.1232,82.8422
113500,,,-373.4794,4.3171,0.002,-0.035,3.0064,228.7482,6.4733,,,
114000,,,-384.187,4.2943,0.0022,-0.0363,3.6142,428.9454,6.0304,,,
114000,,,,,,,,,,1000,5183.2319,83.2245
114500,,,-388.2367,3.9146,0.0021,-0.0359,3.9899,225.7161,7.8936,,,
