env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
53000,,,1.7257,0.7768,0.5786,-127.9214,7.3401,0.2382,-1.1312,4.4165,82.6987,1.5708,,,
53000,,,,,,,,,,,,,1000,874.7189,87.6119
53500,,,1.7181,0.7799,0.5973,-128.2678,5.0226,0.2209,-1.1819,3.5793,37.5222,2.2673,,,
54000,,,1.6934,0.7757,0.5613,-131.2319,5.2886,0.2278,-1.1207,4.8806,48.7057,1.6879,,,
54000,,,,,,,,,,,,,1000,831.1703,84.1926
54500,,,1.7159,0.7779,0.5787,-125.3256,9.417,0.2307,-1.1576,3.6322,76.0487,3.0288,,,
55000,,,1.6784,0.7719,0.5479,-124.306,6.0005,0.2292,-1.1055,3.0608,32.8612,1.4161,,,
55000,1643.6561,1000.0,,,,,,,,,,,,,
55000,,,,,,,,,,,,,1000,971.8599,72.0075
55500,,,1.6945,0.7711,0.5487,-127.1625,5.8136,0.2495,-1.0942,5.3826,48.8719,2.2539,,,
56000,,,1.666,0.775,0.5551,-125.1388,6.3625,0.2139,-1.0877,3.3043,34.7874,2.0265,,,
56000,,,,,,,,,,,,,1000,874.141,85.2344
56500,,,1.689,0.7627,0.5692,-128.8799,6.0732,0.2343,-1.1385,3.5283,48.6514,2.5895,,,
57000,,,1.7165,0.7734,0.566,-131.4435,7.7357,0.2462,-1.1111,4.7938,40.9773,2.0664,,,
57000,,,,,,,,,,,,,1000,907.217,84.6244
57500,,,1.711,0.769,0.5685,-130.9503,5.5087,0.2493,-1.1297,4.7211,44.19,1.8292,,,
58000,,,1.6662,0.7726,0.5307,-128.4549,6.2473,0.2276,-1.0404,2.8666,60.7852,2.516,,,
58000,,,,,,,,,,,,,1000,1091.7862,86.6343
58500,,,1.6545,0.7705,0.5493,-130.7369,6.2354,0.2145,-1.1103,4.4661,62.8801,2.1633,,,
59000,,,1.6879,0.7776,0.5596,-131.6557,6.9026,0.2195,-1.1047,3.1683,51.3014,2.1272,,,
59000,,,,,,,,,,,,,1000,1021.9,84.663
59500,,,1.7097,0.7826,0.56,-135.1431,5.2368,0.2269,-1.1,3.6111,28.4979,1.6086,,,
60000,,,1.6937,0.7677,0.5384,-135.0954,7.2166,0.2632,-1.0822,4.1628,37.1455,2.8106,,,
60000,2546.9132,1000.0,,,,,,,,,,,,,
60000,,,,,,,,,,,,,1000,1642.1883,72.3687
60500,,,1.6663,0.7716,0.5699,-135.9798,6.0073,0.2133,-1.1073,2.891,24.9488,1.5109,,,
61000,,,1.6993,0.7763,0.5673,-142.045,4.5285,0.2221,-1.1318,3.8602,31.5301,1.6974,,,
61000,,,,,,,,,,,,,1000,1757.1677,85.503
61500,,,1.6177,0.7636,0.5199,-136.1985,5.6205,0.2164,-1.0566,5.5199,48.473,1.9309,,,
62000,,,1.7006,0.7754,0.5908,-137.8033,6.2919,0.2126,-1.1516,3.3721,55.8475,1.5657,,,
62000,,,,,,,,,,,,,1000,912.8421,86.9021
62500,,,1.6855,0.779,0.5351,-140.9194,5.5536,0.234,-1.0726,3.7169,33.7844,2.137,,,
63000,,,1.677,0.7723,0.5565,-139.5453,6.9548,0.2224,-1.0988,4.4736,88.4389,2.1249,,,
63000,,,,,,,,,,,,,1000,1927.4206,84.6831
63500,,,1.7295,0.7865,0.5705,-139.9496,5.1827,0.2622,-1.1367,3.651,41.517,1.5298,,,
64000,,,1.6763,0.7829,0.5663,-140.0397,4.5882,0.209,-1.1074,3.6302,53.3728,1.4507,,,
64000,,,,,,,,,,,,,1000,1001.2373,86.1426
64500,,,1.7019,0.7823,0.5527,-144.4512,5.8638,0.2244,-1.1187,5.1156,64.8728,2.2335,,,
65000,,,1.689,0.7843,0.576,-144.7169,5.2725,0.203,-1.1458,4.1865,67.95,2.764,,,
65000,2162.8142,1000.0,,,,,,,,,,,,,
65000,,,,,,,,,,,,,1000,1297.9073,72.4266
65500,,,1.7579,0.7902,0.5958,-143.4294,6.0966,0.2381,-1.1428,2.9354,61.8544,1.5874,,,
66000,,,1.6718,0.7832,0.5628,-143.9893,5.0042,0.203,-1.1496,3.5881,41.4037,2.2592,,,
66000,,,,,,,,,,,,,1000,2057.1777,85.2153
66500,,,1.7287,0.7872,0.5927,-146.2937,5.4956,0.2182,-1.1681,3.5688,40.0359,2.3583,,,
67000,,,1.7663,0.7795,0.5939,-147.5602,4.655,0.2547,-1.1523,2.6681,54.898,1.665,,,
67000,,,,,,,,,,,,,1000,1120.2395,84.5547
67500,,,1.7205,0.7805,0.5728,-145.6076,5.2678,0.2311,-1.1312,2.9848,54.4965,1.7394,,,
68000,,,1.7221,0.7803,0.5885,-149.8667,5.7313,0.2252,-1.1573,2.9941,93.0137,1.4291,,,
68000,,,,,,,,,,,,,1000,2080.9279,86.8553
68500,,,1.7606,0.7867,0.6007,-148.7553,5.2684,0.243,-1.1522,2.3651,18.7015,1.0257,,,
69000,,,1.719,0.7838,0.5618,-148.4935,5.4552,0.2342,-1.117,2.8014,21.7328,2.2355,,,
69000,,,,,,,,,,,,,1000,2211.6972,87.2586
69500,,,1.773,0.7794,0.5746,-149.1379,6.3894,0.2803,-1.1379,2.8462,37.5569,1.5856,,,
70000,,,1.7443,0.7849,0.5785,-152.4678,5.7616,0.2567,-1.157,3.1333,28.9917,1.7952,,,
70000,2790.4194,1000.0,,,,,,,,,,,,,
70000,,,,,,,,,,,,,1000,2222.2576,73.2697
70500,,,1.7402,0.7953,0.6216,-152.623,4.0711,0.2167,-1.2441,2.8862,27.3487,1.6192,,,
71000,,,1.7579,0.7906,0.5809,-152.6596,5.2557,0.2511,-1.1671,2.7036,19.8986,1.7316,,,
71000,,,,,,,,,,,,,1000,2331.7782,86.5308
71500,,,1.7368,0.8035,0.6038,-151.7789,6.5235,0.2171,-1.1588,2.662,38.9422,1.8075,,,
72000,,,1.7589,0.8027,0.5837,-153.9473,5.1007,0.2405,-1.1658,2.1466,44.3118,2.6278,,,
72000,,,,,,,,,,,,,1000,2331.5345,86.0358
72500,,,1.7274,0.799,0.5652,-155.7772,5.6979,0.2326,-1.1308,3.0454,64.4257,2.0484,,,
73000,,,1.761,0.8044,0.5941,-158.6469,6.9487,0.2224,-1.1636,3.3144,95.2744,1.8607,,,
73000,,,,,,,,,,,,,1000,2481.3991,85.4178
73500,,,1.7454,0.7962,0.5995,-158.6559,6.0716,0.2163,-1.2044,2.6259,19.2108,1.4248,,,
74000,,,1.7626,0.8066,0.5837,-158.9635,5.0528,0.246,-1.1795,2.8384,40.1333,2.2667,,,
74000,,,,,,,,,,,,,1000,2609.4219,84.9252
74500,,,1.7818,0.7949,0.5914,-158.9249,6.0085,0.2559,-1.1778,4.0244,74.127,1.7645,,,
75000,,,1.789,0.8022,0.5878,-162.8284,6.3896,0.2537,-1.1916,2.986,54.5345,1.4231,,,
75000,3183.8214,1000.0,,,,,,,,,,,,,
75000,,,,,,,,,,,,,1000,2643.4995,72.5553
75500,,,1.7496,0.8023,0.5839,-161.7563,4.8497,0.2263,-1.1572,3.2594,34.6532,2.2742,,,
76000,,,1.8021,0.8023,0.6158,-162.9072,5.3472,0.2498,-1.2086,2.671,34.2644,1.9124,,,
76000,,,,,,,,,,,,,1000,2567.7009,85.6168
76500,,,1.8092,0.7987,0.6345,-165.5187,5.3642,0.2406,-1.2641,2.9225,26.4249,2.1059,,,
77000,,,1.7283,0.8027,0.5867,-161.3679,5.6459,0.2175,-1.1665,3.9236,84.2579,1.7781,,,
77000,,,,,,,,,,,,,1000,1598.0498,85.9341
77500,,,1.7776,0.7989,0.5868,-167.0476,5.4841,0.2459,-1.1851,3.3056,39.5555,2.0627,,,
78000,,,1.8058,0.818,0.6323,-166.3163,6.1806,0.2286,-1.2412,3.5263,99.846,2.0896,,,
78000,,,,,,,,,,,,,1000,2775.4382,87.2909
78500,,,1.7767,0.8048,0.597,-168.4545,7.4768,0.2342,-1.1901,2.6314,42.0298,1.3498,,,
79000,,,1.7911,0.7939,0.6076,-169.7097,6.7311,0.2536,-1.2099,3.5279,53.2309,1.7123,,,
79000,,,,,,,,,,,,,1000,2253.8944,85.9724
79500,,,1.8233,0.8164,0.6441,-174.0394,6.0071,0.2292,-1.2864,3.3331,63.2999,1.6468,,,
80000,,,1.7947,0.8056,0.6175,-167.8087,6.4807,0.2385,-1.2197,5.0421,48.8642,2.2713,,,
80000,3299.6666,1000.0,,,,,,,,,,,,,
80000,,,,,,,,,,,,,1000,2991.5456,72.5889
80500,,,1.8259,0.8106,0.6029,-171.5139,5.8116,0.2721,-1.2108,2.91,41.2179,2.0385,,,
81000,,,1.8237,0.8252,0.6129,-171.5015,5.8098,0.2554,-1.2266,4.7049,51.3937,1.5975,,,
81000,,,,,,,,,,,,,1000,2928.8247,85.1684
81500,,,1.8709,0.8189,0.6348,-176.3373,7.3034,0.2834,-1.2554,3.6715,66.8364,2.1084,,,
82000,,,1.8322,0.8218,0.6199,-179.9509,6.2703,0.2521,-1.2735,3.9384,103.0011,1.9739,,,
82000,,,,,,,,,,,,,1000,2865.0588,86.4848
82500,,,1.82,0.8202,0.6284,-177.6578,7.1064,0.2371,-1.2356,3.2862,92.2215,1.216,,,
83000,,,1.8075,0.8137,0.6137,-177.0943,6.2962,0.2438,-1.2069,3.302,51.8724,1.8158,,,
83000,,,,,,,,,,,,,1000,2992.2514,86.7435
83500,,,1.8183,0.8116,0.6373,-176.7941,6.6481,0.2428,-1.279,3.4791,43.1665,1.807,,,
84000,,,1.8313,0.8132,0.6507,-182.5818,5.4995,0.2415,-1.2991,3.8119,83.2925,1.9242,,,
84000,,,,,,,,,,,,,1000,3021.0391,85.3198
84500,,,1.8416,0.8206,0.6421,-182.8382,6.2786,0.2309,-1.2703,3.2665,49.8883,2.0156,,,
85000,,,1.8304,0.8176,0.6126,-180.9904,6.7753,0.2676,-1.2423,3.2382,49.4414,1.6306,,,
85000,3493.4431,1000.0,,,,,,,,,,,,,
85000,,,,,,,,,,,,,1000,3183.8025,72.5968
85500,,,1.8236,0.8311,0.6154,-188.4043,6.5846,0.245,-1.2615,3.5602,39.5296,2.3777,,,
86000,,,1.8401,0.8261,0.651,-186.5756,5.6556,0.222,-1.2959,3.673,34.1385,1.3691,,,
86000,,,,,,,,,,,,,1000,3099.6655,84.3417
86500,,,1.8167,0.816,0.6104,-186.6069,5.1672,0.2518,-1.2372,3.321,103.7173,2.0682,,,
87000,,,1.8868,0.8357,0.642,-189.1579,8.5071,0.2691,-1.2921,2.8409,26.9994,1.8457,,,
87000,,,,,,,,,,,,,1000,3182.0067,84.3569
87500,,,1.824,0.8297,0.6448,-188.9706,5.9341,0.2272,-1.2891,3.838,42.5,2.0423,,,
88000,,,1.8623,0.8276,0.6374,-190.1642,7.8642,0.269,-1.2693,3.7908,69.8448,2.012,,,
88000,,,,,,,,,,,,,1000,3201.4284,85.2962
88500,,,1.8948,0.8248,0.6483,-193.9747,6.3531,0.2786,-1.2642,2.9446,24.9908,1.7841,,,
89000,,,1.865,0.839,0.6506,-198.7656,5.636,0.2405,-1.279,2.9389,64.5097,1.5248,,,
89000,,,,,,,,,,,,,1000,3296.5201,85.7427
