env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
60844,,,172,-127.6955,15.4307,,,,,,,,,,,
61000,,,,,,50,43,6,117.1621,30.5101,17.9133,20.884,-2.7114,2.4832,19.865,0.456
61114,,,270,-134.5575,16.1948,,,,,,,,,,,
61201,,,87,-112.2436,16.0966,,,,,,,,,,,
61343,,,142,-124.3604,16.2077,,,,,,,,,,,
61435,,,92,-113.3728,15.7536,,,,,,,,,,,
61500,,,,,,50,26,4,187.2542,37.445,20.969,27.0979,-1.5523,3.0868,39.4854,0.7486
61535,,,100,-114.3932,15.6862,,,,,,,,,,,
61641,,,106,-106.9865,15.276,,,,,,,,,,,
61873,,,232,-110.7518,16.2432,,,,,,,,,,,
62000,,,,,,50,28,5,161.416,58.0487,20.8592,48.1915,0.3278,1.9122,37.0981,0.459
62044,,,171,-108.9649,15.6667,,,,,,,,,,,
62174,,,130,-107.5676,16.201,,,,,,,,,,,
62360,,,186,-111.52,16.0277,,,,,,,,,,,
62482,,,122,-111.7988,15.7858,,,,,,,,,,,
62500,,,,,,50,26,4,190.8669,53.9297,18.4089,45.1614,-0.7637,2.4514,41.0887,0.6225
62563,,,81,-105.2373,15.0734,,,,,,,,,,,
62770,,,207,-110.8291,15.2184,,,,,,,,,,,
62869,,,99,-105.6524,15.2177,,,,,,,,,,,
63000,,,,,,50,25,4,211.5097,37.429,16.0122,28.1605,-2.3772,2.3871,23.8187,0.8425
63200,,,331,-147.4532,15.3825,,,,,,,,,,,
63289,,,89,-112.0479,15.1741,,,,,,,,,,,
63367,,,78,-114.787,15.1244,,,,,,,,,,,
63500,,,,,,50,25,4,185.6714,87.5618,17.566,78.4031,-0.892,5.9874,98.5708,0.722
63504,,,137,-114.7183,15.1691,,,,,,,,,,,
63624,,,120,-113.3136,15.1323,,,,,,,,,,,
63715,,,91,-103.1664,15.1743,,,,,,,,,,,
63842,,,127,-111.7566,15.9838,,,,,,,,,,,
64000,,,,,,50,23,4,242.1731,63.9294,21.6137,53.0939,-1.9775,3.4055,34.8419,1.4805
64044,,,202,-103.9581,15.32,,,,,,,,,,,
64181,,,137,-105.6288,15.4596,,,,,,,,,,,
64249,,,68,-105.0691,16.1445,,,,,,,,,,,
64463,,,214,-111.9897,15.1489,,,,,,,,,,,
64500,,,,,,50,23,3,211.6513,36.429,19.0505,28.9213,-1.6248,6.0955,46.1803,0.4715
64536,,,73,-111.1947,15.0355,,,,,,,,,,,
64603,,,67,-108.9204,15.1285,,,,,,,,,,,
64856,,,253,-150.5177,15.2165,,,,,,,,,,,
64997,,,141,-98.8858,15.2409,,,,,,,,,,,
65000,,,,,,50,23,3,226.6286,51.7942,14.9547,44.6263,0.1178,3.5922,26.5838,0.5242
65000,-98.7054,311.5,,,,,,,,,,,,,,
65157,,,160,-101.1689,13.7377,,,,,,,,,,,
65352,,,195,-98.8177,15.6145,,,,,,,,,,,
65442,,,90,-100.6332,15.0064,,,,,,,,,,,
65500,,,,,,50,23,4,227.4712,17.6992,18.2869,9.3206,-1.6347,5.6305,66.5438,1.1685
65524,,,82,-100.5956,15.1934,,,,,,,,,,,
65683,,,159,-94.841,15.6705,,,,,,,,,,,
65844,,,161,-90.8417,15.4761,,,,,,,,,,,
65989,,,145,-91.9538,15.0463,,,,,,,,,,,
66000,,,,,,50,24,4,212.6922,50.5752,30.9927,45.1991,-1.4094,6.2467,74.2666,0.7633
66081,,,92,-99.3451,15.0221,,,,,,,,,,,
66325,,,244,-96.0586,15.1827,,,,,,,,,,,
66500,,,,,,50,22,3,262.5265,90.1451,49.8335,83.0873,-2.7291,5.6063,47.5296,0.9371
66504,,,179,-88.7644,15.8805,,,,,,,,,,,
67000,,,,,,50,25,5,196.2376,49.7,15.4972,41.64,-0.3407,3.6877,56.4369,0.6057
67086,,,582,-73.5931,15.2097,,,,,,,,,,,
67419,,,333,-92.9182,15.3447,,,,,,,,,,,
67500,,,,,,50,22,3,249.4223,52.0425,19.307,45.2281,-1.1938,3.7049,38.6509,0.8596
68000,,,,,,50,23,3,225.2967,15.3161,10.2725,9.2834,-1.5731,6.4695,89.2744,0.9019
