env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,rkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
36000,,,,,,50,50,37,13.548,0.5736,32.1281,32.4944,-53.5332,10.5579,3.3419,7.6504,0.2178
36500,,,,,,50,50,31,14.293,0.5075,31.7456,32.1894,-53.6471,13.891,6.0827,8.1818,0.3744
36771,,,1000,-405.2123,71.3951,,,,,,,,,,,,
36833,,,62,-15.9171,74.1473,,,,,,,,,,,,
36894,,,61,-27.2384,72.9321,,,,,,,,,,,,
37000,,,,,,50,50,32,14.0275,0.3546,31.6373,31.7804,-53.7208,6.2205,5.4255,17.7609,0.3161
37020,,,126,-50.0116,70.9129,,,,,,,,,,,,
37061,,,41,-4.5189,70.6397,,,,,,,,,,,,
37073,,,12,-16.6007,70.9393,,,,,,,,,,,,
37090,,,17,-0.919,70.8915,,,,,,,,,,,,
37137,,,47,-4.87,70.125,,,,,,,,,,,,
37154,,,17,-6.4444,70.019,,,,,,,,,,,,
37180,,,26,-2.0727,66.8252,,,,,,,,,,,,
37500,,,,,,50,50,31,14.1218,0.6654,33.4328,33.172,-53.7025,15.4808,6.339,12.1912,0.4219
38000,,,,,,50,50,31,14.1872,0.7644,33.1758,33.1537,-53.4033,11.4535,10.2691,17.6022,0.3069
38180,,,1000,-422.6304,70.6402,,,,,,,,,,,,
38213,,,33,-11.3549,74.3645,,,,,,,,,,,,
38254,,,41,-1.2996,72.0059,,,,,,,,,,,,
38333,,,79,-39.4451,71.5083,,,,,,,,,,,,
38438,,,105,9.1751,70.7602,,,,,,,,,,,,
38500,,,,,,50,50,33,14.0289,0.5327,32.9358,33.144,-53.8721,8.8096,1.3679,4.3895,0.4015
38502,,,64,-31.2819,66.5177,,,,,,,,,,,,
38530,,,28,0.7442,69.0909,,,,,,,,,,,,
38549,,,19,-16.4717,67.1582,,,,,,,,,,,,
38668,,,119,-45.4526,70.0416,,,,,,,,,,,,
38863,,,195,-49.8815,69.0403,,,,,,,,,,,,
38893,,,30,-14.6509,73.955,,,,,,,,,,,,
39000,,,,,,50,50,28,15.0749,0.7083,33.4685,33.4916,-53.1538,10.3704,1.6805,12.8743,0.4367
39001,,,108,-0.4835,72.0915,,,,,,,,,,,,
39500,,,,,,50,50,32,14.1546,0.3992,34.8552,34.6465,-54.1195,5.9341,7.9677,15.1476,0.636
40000,,,,,,50,50,33,14.2366,0.6548,34.1533,34.145,-53.1843,7.8899,20.6553,23.3041,0.4354
40000,955.2986,1000.0,,,,,,,,,,,,,,,
40001,,,1000,-432.0031,52.0292,,,,,,,,,,,,
40024,,,23,-4.4383,65.6683,,,,,,,,,,,,
40141,,,117,-34.5571,71.2904,,,,,,,,,,,,
40259,,,118,-27.7434,71.1574,,,,,,,,,,,,
40481,,,222,-74.5604,72.8634,,,,,,,,,,,,
40500,,,,,,50,50,32,14.264,0.6668,34.646,34.8405,-53.2278,9.0223,4.4081,33.5602,0.3694
40514,,,33,-21.1722,74.8443,,,,,,,,,,,,
40595,,,81,-7.918,74.2399,,,,,,,,,,,,
40617,,,22,5.1503,71.1763,,,,,,,,,,,,
40653,,,36,-34.3627,71.5982,,,,,,,,,,,,
41000,,,,,,50,50,32,14.4806,0.6602,33.9754,34.1127,-53.1623,6.5605,4.2319,14.6809,0.3465
41500,,,,,,50,50,29,14.5287,0.6285,34.4581,34.5456,-53.3277,10.7505,2.3427,4.9359,0.2435
41653,,,1000,-295.9123,74.0997,,,,,,,,,,,,
41686,,,33,-17.7555,74.4526,,,,,,,,,,,,
41707,,,21,-5.7721,72.5226,,,,,,,,,,,,
41734,,,27,5.7069,71.6203,,,,,,,,,,,,
41787,,,53,-4.2994,71.0332,,,,,,,,,,,,
41828,,,41,5.8524,73.6624,,,,,,,,,,,,
41914,,,86,-8.5663,69.3962,,,,,,,,,,,,
42000,,,,,,50,50,33,14.1066,0.6898,34.4075,34.3981,-52.6294,14.774,8.3746,27.7519,0.4467
42500,,,,,,50,50,28,14.7461,0.5629,35.2039,34.694,-53.6296,10.3803,14.9882,14.5112,0.3361
42914,,,1000,-241.2068,73.1558,,,,,,,,,,,,
42937,,,23,-12.0205,74.115,,,,,,,,,,,,
43000,,,,,,50,50,30,14.6075,0.4031,34.8587,34.9413,-53.0637,6.2223,5.9526,13.5255,0.3316
43176,,,239,-0.7049,75.1336,,,,,,,,,,,,
43500,,,,,,50,50,28,15.1223,0.7223,34.4788,34.5895,-53.3315,8.6542,14.8645,26.5932,0.4084
44000,,,,,,50,50,28,16.2267,0.5473,34.6723,34.9141,-53.3711,7.1217,15.6102,15.6852,0.3461
44176,,,1000,-232.3925,72.6356,,,,,,,,,,,,
44197,,,21,-8.6012,71.4855,,,,,,,,,,,,
