env_steps,return,length,train/length,train/return,FPS,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
55000,,,,,,0.1055,-5236.5698,136.6244,0.1055,33393.6328,785621.6875,90.2631
55000,-228.8924,476.3,,,,,,,,,,
55472,,,1000,-956.5146,82.0117,,,,,,,
55500,,,,,,0.0996,-5095.8643,140.2453,0.0996,30365.3652,657903.6875,115.0846
55506,,,34,-40.7408,93.8083,,,,,,,
55547,,,41,-18.85,93.7439,,,,,,,
55647,,,100,-50.2505,93.7448,,,,,,,
55922,,,275,-272.025,93.8049,,,,,,,
56000,,,,,,0.108,-5228.2788,146.3504,0.108,14239.6738,251863.3906,96.6113
56167,,,245,-260.1145,93.82,,,,,,,
56500,,,,,,0.1043,-5032.4258,157.7823,0.1043,21889.8398,331167.5938,96.2936
57000,,,,,,0.1033,-4936.1704,117.3336,0.1033,26663.4766,670146.5625,117.1458
57167,,,1000,-600.9703,94.7071,,,,,,,
57500,,,,,,0.1036,-4921.5063,138.4286,0.1036,16110.9668,329382.7188,96.1379
58000,,,,,,0.1059,-5049.1509,151.6198,0.1059,14302.5361,298190.8438,97.1508
58167,,,1000,-1014.0277,96.8107,,,,,,,
58240,,,73,-95.1584,93.4322,,,,,,,
58373,,,133,-152.3689,93.6464,,,,,,,
58408,,,35,-14.8245,93.6122,,,,,,,
58456,,,48,-61.5991,93.6997,,,,,,,
58500,,,,,,0.1096,-4971.3892,150.1643,0.1096,14001.0889,314567.6562,79.6227
59000,,,,,,0.1058,-5033.7993,139.2187,0.1058,16430.8145,407396.875,77.533
59456,,,1000,-1076.8025,93.6657,,,,,,,
59500,,,,,,0.1033,-4918.1929,125.9703,0.1033,20024.0996,375971.6875,81.6543
60000,,,,,,0.107,-4853.8501,154.7912,0.107,24770.8457,529405.4375,105.2048
60000,-380.0578,222.5,,,,,,,,,,
60456,,,1000,-983.4487,88.6189,,,,,,,
60500,,,,,,0.1078,-4967.7915,124.3684,0.1078,17383.2148,382077.7188,80.6793
61000,,,,,,0.1083,-4908.3711,156.0624,0.1083,18295.2207,422202.6875,91.7572
61456,,,1000,-1274.7445,94.0823,,,,,,,
61500,,,,,,0.1046,-4799.2295,168.5138,0.1046,11569.8848,340988.3125,102.7384
62000,,,,,,0.0995,-4676.4346,110.9539,0.0995,16604.6523,437998.9688,91.6318
62456,,,1000,-932.4042,93.2204,,,,,,,
62500,,,,,,0.0942,-4440.48,124.3056,0.0942,15412.7773,468895.2188,94.077
63000,,,,,,0.0966,-4434.1475,109.5414,0.0966,14909.5498,340380.2812,82.9656
63456,,,1000,-692.1341,95.3602,,,,,,,
63491,,,35,-40.8925,99.9415,,,,,,,
63500,,,,,,0.0997,-4633.6055,164.1159,0.0997,15697.8574,396583.4062,105.1252
64000,,,,,,0.0926,-4614.8022,76.5512,0.0926,14709.3535,410007.5312,75.8975
64491,,,1000,-876.2468,99.5622,,,,,,,
64500,,,,,,0.0934,-4440.6387,79.7652,0.0934,13487.4766,288818.5938,89.5688
64516,,,25,-30.4564,92.0646,,,,,,,
64551,,,35,-55.6801,93.4624,,,,,,,
64566,,,15,-16.0985,92.1072,,,,,,,
64665,,,99,-74.3821,99.1067,,,,,,,
64714,,,49,-86.9178,96.0257,,,,,,,
64744,,,30,-29.405,93.8992,,,,,,,
64768,,,24,-38.5063,93.2892,,,,,,,
64783,,,15,-7.1767,93.3576,,,,,,,
65000,,,,,,0.0978,-4499.4893,97.2618,0.0978,12116.9258,307002.1562,73.2946
65000,-310.3303,243.0,,,,,,,,,,
65500,,,,,,0.0951,-4427.3423,116.8746,0.0951,18640.457,575127.0625,65.1175
65783,,,1000,-945.3171,86.9453,,,,,,,
65801,,,18,-15.3399,94.1469,,,,,,,
65875,,,74,-91.82,93.809,,,,,,,
65908,,,33,-41.4007,93.7511,,,,,,,
66000,,,,,,0.0996,-4435.481,113.6995,0.0996,15612.2773,349028.3438,83.2995
66039,,,131,-122.2558,93.5185,,,,,,,
66500,,,,,,0.0928,-4332.9912,120.5444,0.0928,11640.0752,303296.7188,148.7123
67000,,,,,,0.0933,-4485.959,147.9014,0.0933,14510.9141,281030.25,70.5491
67039,,,1000,-1689.7505,95.5854,,,,,,,
67085,,,46,-65.8449,99.9877,,,,,,,
67156,,,71,-92.7336,99.858,,,,,,,
67214,,,58,-85.8004,99.9365,,,,,,,
67231,,,17,-12.5513,99.4984,,,,,,,
67244,,,13,-14.1505,99.9763,,,,,,,
67378,,,134,-178.9645,97.4207,,,,,,,
67500,,,,,,0.0934,-4430.395,123.6347,0.0934,22893.6094,429440.2188,85.6815
68000,,,,,,0.0963,-4306.3218,135.907,0.0963,49411.4688,343120.4688,68.0043
68378,,,1000,-1162.5244,93.4235,,,,,,,
68392,,,14,-16.0842,92.8306,,,,,,,
