env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
82500,,,0.3446,0.8947,0.1788,-280.6834,6.5635,0.0325,-0.297,4.9582,190.6195,5.3614,,,
83000,,,0.3462,0.8914,0.1192,-275.3687,5.7542,0.0555,-0.242,5.453,399.3722,4.1672,,,
83000,,,,,,,,,,,,,1000,4834.8586,79.4563
83500,,,0.3461,0.8895,0.1211,-274.4166,4.8597,0.0549,-0.2385,4.4324,205.3846,4.8303,,,
84000,,,0.3459,0.9067,0.1186,-289.5132,5.9027,0.0555,-0.2354,4.4173,178.8428,5.2392,,,
84000,,,,,,,,,,,,,1000,5004.0566,80.2472
84500,,,0.3468,0.8877,0.1145,-291.5588,6.6681,0.0576,-0.2312,5.6424,478.1146,6.182,,,
85000,,,0.3522,0.8915,0.1198,-287.9456,6.0744,0.0582,-0.241,5.0939,426.2977,2.8999,,,
85000,5742.5473,1000.0,,,,,,,,,,,,,
85000,,,,,,,,,,,,,1000,4954.4225,67.4464
85500,,,0.3488,0.8893,0.107,-294.9816,4.6248,0.0625,-0.2129,5.6816,168.1722,5.6731,,,
86000,,,0.3444,0.878,0.1149,-292.8438,5.4921,0.0569,-0.2409,5.5733,399.9799,5.9418,,,
86000,,,,,,,,,,,,,1000,5103.9354,76.2058
86500,,,0.3505,0.8918,0.1217,-293.2984,6.5866,0.0561,-0.2417,5.8941,254.5227,5.3622,,,
87000,,,0.3546,0.9025,0.1264,-300.4691,6.3384,0.0586,-0.2471,7.237,398.165,6.0552,,,
87000,,,,,,,,,,,,,1000,4998.503,77.4067
87500,,,0.3476,0.899,0.1152,-305.4431,5.7092,0.0582,-0.2271,5.199,357.2308,5.0494,,,
88000,,,0.355,0.8988,0.1214,-306.184,4.4256,0.0586,-0.2434,5.0378,209.1357,5.0657,,,
88000,,,,,,,,,,,,,1000,5199.9261,78.9855
88500,,,0.3588,0.9108,0.1195,-312.2058,7.5174,0.0614,-0.2401,4.7637,246.3963,4.6389,,,
89000,,,0.3479,0.9097,0.1181,-314.3133,5.5982,0.0567,-0.2362,4.4338,218.5689,7.0913,,,
89000,,,,,,,,,,,,,1000,5291.1188,78.4622
