env_steps,return,length,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
56000,,,50,50,9,48.3997,-149.7469,2.7868,0.713,-5.22,2.4993,48.3586,1.9721,,,
56000,,,,,,,,,,,,,,1000,1324.7921,31.6034
56500,,,50,50,9,50.9168,-150.0535,3.1461,0.8144,-5.3314,2.6877,46.7417,1.8308,,,
57000,,,50,50,8,54.7489,-156.0394,3.007,0.774,-5.1606,4.8553,69.6927,2.6156,,,
57000,,,,,,,,,,,,,,1000,1960.5323,31.2137
57500,,,50,50,9,48.3445,-148.1857,2.9664,0.7575,-5.4412,3.501,125.1311,2.2779,,,
58000,,,50,50,9,48.5708,-154.6825,3.5318,0.7113,-4.9474,2.8445,73.3403,2.8873,,,
58000,,,,,,,,,,,,,,1000,1145.3306,31.1053
58500,,,50,50,8,53.2423,-155.2317,3.3963,0.8072,-5.0769,3.8394,45.2115,3.421,,,
59000,,,50,50,7,52.1205,-151.9265,3.8224,0.7589,-5.5852,3.8866,80.4709,3.3994,,,
59000,,,,,,,,,,,,,,1000,2167.7257,31.0839
59500,,,50,50,8,49.8167,-156.7039,4.0684,0.8507,-5.5373,9.1936,85.447,3.469,,,
60000,,,50,50,8,53.7672,-159.8395,3.4322,0.7629,-5.3871,2.8017,130.5274,2.4487,,,
60000,3330.8112,1000.0,,,,,,,,,,,,,,
60000,,,,,,,,,,,,,,1000,902.6654,28.0068
60500,,,50,50,9,47.5343,-150.3948,4.2956,0.7128,-5.1562,3.0962,76.616,3.8868,,,
61000,,,50,50,8,52.1357,-156.6288,3.1933,0.7391,-5.2033,2.6163,104.8411,2.2527,,,
61000,,,,,,,,,,,,,,1000,970.0642,31.4194
61500,,,50,50,9,50.2061,-158.501,3.8566,0.7412,-5.2035,19.3358,200.4874,2.6814,,,
62000,,,50,50,7,51.5067,-157.9525,4.0019,0.72,-4.9601,4.3708,111.0426,2.5461,,,
62000,,,,,,,,,,,,,,1000,1164.8827,31.0495
62500,,,50,50,6,56.6732,-159.8097,3.1818,0.7305,-5.3728,2.995,85.8632,2.438,,,
63000,,,50,50,7,56.8151,-157.6247,4.9075,0.7207,-5.216,4.3012,117.56,2.3379,,,
63000,,,,,,,,,,,,,,1000,2133.8688,30.8686
63500,,,50,50,7,52.5013,-159.7399,4.5096,0.7789,-5.4509,3.6854,81.0934,2.4159,,,
64000,,,50,50,7,52.5811,-163.0301,4.3198,0.7262,-4.8362,2.5103,50.056,2.9076,,,
64000,,,,,,,,,,,,,,1000,2092.8695,30.8457
64500,,,50,50,7,55.32,-165.6315,4.6388,0.7598,-5.285,4.048,99.878,3.4373,,,
65000,,,50,50,7,55.0372,-162.636,3.7836,0.7943,-5.9574,3.267,141.5694,3.0534,,,
65000,3425.7133,1000.0,,,,,,,,,,,,,,
65000,,,,,,,,,,,,,,1000,1136.0316,27.9004
65500,,,50,50,8,52.3247,-159.0917,5.0022,0.8308,-5.0323,2.9193,91.3944,2.3859,,,
66000,,,50,50,7,53.7605,-164.4049,3.5268,0.8025,-5.4955,3.3954,48.9027,2.2264,,,
66000,,,,,,,,,,,,,,1000,1079.0204,30.9871
66500,,,50,50,6,54.4492,-160.9449,3.6206,0.8054,-5.4931,3.5354,182.5617,2.1545,,,
67000,,,50,50,7,57.8556,-164.1078,3.9475,0.7599,-5.7847,4.6655,98.2943,2.5484,,,
67000,,,,,,,,,,,,,,1000,1893.1148,31.2918
67500,,,50,50,7,57.6928,-172.7068,5.2364,0.7239,-5.7895,4.3763,181.117,2.4831,,,
68000,,,50,50,7,51.9829,-170.4341,3.7154,0.7333,-5.6894,3.316,70.8836,2.2182,,,
68000,,,,,,,,,,,,,,1000,2561.6504,31.0421
68500,,,50,50,7,55.4353,-171.7344,3.3158,0.7065,-5.1519,3.566,69.284,2.4247,,,
69000,,,50,50,6,57.3331,-173.0767,5.6854,0.7821,-5.7596,4.5813,150.7747,3.2574,,,
