env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
68000,,,-186.2906,3.6139,0.0034,-0.0486,2.6586,75.4686,3.5719,,,
68000,,,,,,,,,,1000,2725.4292,12.0245
68500,,,-186.9102,3.1593,0.0031,-0.0466,2.9523,59.9818,2.5675,,,
69000,,,-187.7017,3.137,0.0033,-0.0468,2.8226,93.9011,3.2414,,,
69000,,,,,,,,,,1000,2784.5795,11.7002
69500,,,-195.9429,3.2463,0.0034,-0.0491,2.8786,174.0709,2.9249,,,
70000,,,-195.2533,3.5746,0.0032,-0.0462,3.7332,98.2217,5.3757,,,
70000,3848.5289,1000.0,,,,,,,,,,
70000,,,,,,,,,,1000,2829.5976,11.4816
70500,,,-198.4038,3.4552,0.0028,-0.0436,2.6781,85.5361,4.5159,,,
71000,,,-194.743,2.9071,0.0036,-0.0486,3.1395,115.8237,2.8819,,,
71000,,,,,,,,,,1000,2945.0147,12.0885
71500,,,-197.6429,3.1125,0.0033,-0.0501,2.9814,85.136,3.048,,,
72000,,,-201.2503,3.1569,0.0042,-0.0521,2.8982,99.8599,3.6452,,,
72000,,,,,,,,,,1000,2965.1391,11.7039
72500,,,-199.0947,4.4058,0.0032,-0.047,2.7142,127.355,4.7961,,,
73000,,,-197.9691,4.2386,0.0036,-0.0493,2.8495,89.4262,4.8267,,,
73000,,,,,,,,,,1000,3200.5856,11.8845
73500,,,-206.3268,3.4643,0.0031,-0.0457,2.8456,118.9902,4.0009,,,
74000,,,-207.2321,3.2623,0.0036,-0.0519,2.8744,88.3096,3.9618,,,
74000,,,,,,,,,,1000,3129.8626,12.1712
74500,,,-208.5611,3.0939,0.0034,-0.048,3.1371,184.7984,3.1454,,,
75000,,,-208.8003,3.4148,0.0029,-0.0444,2.6846,111.2455,3.271,,,
75000,4173.5542,1000.0,,,,,,,,,,
75000,,,,,,,,,,1000,3082.0042,11.3079
75500,,,-211.5532,3.3573,0.0032,-0.046,2.8722,67.3086,4.4773,,,
76000,,,-211.2273,3.8361,0.0036,-0.0465,2.6464,97.1309,3.3978,,,
76000,,,,,,,,,,1000,3147.3231,11.9404
76500,,,-216.4058,3.0558,0.0029,-0.0461,2.7772,97.7508,3.7265,,,
77000,,,-214.603,3.2896,0.0036,-0.0499,2.7252,110.475,5.0787,,,
77000,,,,,,,,,,1000,3332.8545,11.9512
77500,,,-216.6393,3.884,0.0032,-0.0457,3.1105,113.4877,4.1945,,,
78000,,,-222.5896,3.184,0.0033,-0.048,2.66,60.0035,3.7972,,,
78000,,,,,,,,,,1000,3393.6112,12.1511
78500,,,-219.421,4.6243,0.0036,-0.0496,2.7274,102.5304,4.4993,,,
79000,,,-219.3862,3.7419,0.0034,-0.0481,2.6354,105.8754,4.397,,,
79000,,,,,,,,,,1000,3615.9451,12.0618
79500,,,-227.0922,3.3275,0.0038,-0.0528,2.8556,122.7674,3.6939,,,
80000,,,-228.0438,3.8389,0.0029,-0.0433,3.1926,95.0281,4.0608,,,
80000,4339.5648,1000.0,,,,,,,,,,
80000,,,,,,,,,,1000,3642.832,11.8131
80500,,,-228.2029,3.9166,0.0036,-0.0503,2.9554,151.4442,5.0929,,,
81000,,,-224.39,3.1431,0.0029,-0.0442,2.917,102.2464,4.3861,,,
81000,,,,,,,,,,1000,3602.995,12.4291
81500,,,-232.491,3.3278,0.0032,-0.046,3.0674,100.0318,2.8094,,,
82000,,,-232.5733,3.9249,0.0034,-0.0482,2.914,178.5588,4.2646,,,
82000,,,,,,,,,,1000,3730.25,12.4046
82500,,,-237.9191,3.9569,0.0037,-0.05,2.9499,116.618,4.3847,,,
83000,,,-230.8453,3.0018,0.0033,-0.0463,2.9553,109.8578,3.0119,,,
83000,,,,,,,,,,1000,3930.0126,11.8802
83500,,,-233.5535,4.2661,0.0033,-0.0465,3.079,194.116,4.2842,,,
84000,,,-243.1632,4.0674,0.0031,-0.0451,3.1013,117.7444,6.4074,,,
84000,,,,,,,,,,1000,3835.0295,11.9171
84500,,,-241.5643,3.913,0.0031,-0.0454,2.8037,129.89,6.3957,,,
85000,,,-241.1344,4.0325,0.0029,-0.0445,2.7761,77.2312,4.2649,,,
85000,4810.5052,1000.0,,,,,,,,,,
85000,,,,,,,,,,1000,3909.9227,11.3371
85500,,,-244.1773,4.0706,0.003,-0.0458,3.0753,121.3395,4.3902,,,
86000,,,-246.4355,3.5194,0.0029,-0.0442,2.9184,103.063,3.7346,,,
86000,,,,,,,,,,1000,3918.0941,12.1392
86500,,,-246.2955,3.7539,0.0031,-0.0463,3.1128,237.2133,3.7982,,,
