env_steps,return,length,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
108000,,,50,50,3,74.6031,-305.8306,4.2862,4.3909,106.785,4.2267,,,
108000,,,,,,,,,,,,1000,4376.5706,20.6287
108500,,,50,50,3,83.75,-309.3601,5.1594,4.9796,298.3275,2.6525,,,
109000,,,50,50,3,83.7781,-312.6425,7.2601,4.3082,179.6736,2.7146,,,
109000,,,,,,,,,,,,1000,4266.7467,21.0659
109500,,,50,50,3,88.617,-306.582,6.2481,5.6162,125.4034,4.8545,,,
110000,,,50,50,3,83.7804,-312.7485,8.6023,5.1491,126.1762,3.4764,,,
110000,4741.0943,1000.0,,,,,,,,,,,,
110000,,,,,,,,,,,,1000,4446.0787,15.4259
110500,,,50,50,3,83.9903,-315.8322,8.2037,5.2167,131.9778,3.0397,,,
111000,,,50,50,3,84.6581,-318.42,4.7301,4.5652,212.7017,2.7613,,,
111000,,,,,,,,,,,,1000,4488.3802,21.7486
111500,,,50,50,3,90.5968,-314.5528,7.0128,6.5397,167.131,3.3279,,,
112000,,,50,50,3,83.5538,-319.7222,7.5913,5.0144,296.5677,3.3978,,,
112000,,,,,,,,,,,,1000,4544.4325,21.3724
