env_steps,return,length,rank-3,rank-2,rank-1,cond,z_dist,r_dist,transition_dist,bisimilarity,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
44000,,,50,50,12,62.2347,0.8005,0.5483,1.2359,0.6719,-112.5045,3.4261,0.3384,3.417,105.9069,1.7686,,,
44000,,,,,,,,,,,,,,,,,1000,551.2665,37.2854
44500,,,50,50,12,65.302,0.8732,0.5959,1.2598,0.7219,-115.5155,4.5018,0.2927,3.779,59.1668,2.4745,,,
45000,,,50,50,12,55.7259,0.8556,0.6316,1.2814,0.7597,-123.9241,2.7147,0.2813,10.0715,105.0788,2.2736,,,
45000,2587.8646,1000.0,,,,,,,,,,,,,,,,,
45000,,,,,,,,,,,,,,,,,1000,917.5017,28.8528
45500,,,50,50,11,59.8052,0.8701,0.5893,1.2696,0.7163,-119.196,3.0461,0.2997,3.8897,65.1,2.7624,,,
46000,,,50,50,11,63.0469,0.9072,0.6608,1.2609,0.7869,-117.4039,3.3536,0.2897,3.5696,82.5141,3.486,,,
46000,,,,,,,,,,,,,,,,,1000,760.9444,37.5663
46500,,,50,50,12,63.2331,0.859,0.5613,1.228,0.6841,-120.6205,4.8808,0.2558,4.336,111.225,2.0996,,,
47000,,,50,50,11,63.705,0.8885,0.6199,1.2798,0.7479,-114.637,2.7609,0.318,2.0346,68.4016,2.1014,,,
47000,,,,,,,,,,,,,,,,,1000,806.4184,37.6158
47500,,,50,50,11,62.486,0.899,0.704,1.2688,0.8308,-117.1406,3.0633,0.3176,2.4424,35.1962,2.4189,,,
48000,,,50,50,12,56.0653,0.8538,0.5624,1.2944,0.6918,-124.6782,4.9147,0.3331,4.4931,89.9884,2.398,,,
48000,,,,,,,,,,,,,,,,,1000,1099.3145,38.7668
48500,,,50,50,12,54.791,0.8764,0.573,1.2578,0.6988,-136.7226,2.6555,0.2529,2.6806,50.5038,1.9335,,,
49000,,,50,50,11,58.4124,0.9702,0.7292,1.2755,0.8568,-128.0045,3.2814,0.3426,2.9773,69.3671,3.041,,,
49000,,,,,,,,,,,,,,,,,1000,1164.5674,37.9582
49500,,,50,50,12,60.6768,0.8983,0.7067,1.2942,0.8361,-127.8222,2.9383,0.325,1.6235,98.7728,2.228,,,
50000,,,50,50,11,59.9778,0.8424,0.5772,1.1775,0.6949,-126.9176,2.95,0.2406,6.3323,81.2499,4.41,,,
50000,2764.9542,1000.0,,,,,,,,,,,,,,,,,
50000,,,,,,,,,,,,,,,,,1000,1018.1969,28.5439
50500,,,50,50,11,62.7277,0.9177,0.657,1.3264,0.7896,-117.804,2.4286,0.3313,2.639,67.9739,1.96,,,
51000,,,50,50,11,56.0333,0.9365,0.7082,1.3232,0.8405,-136.0684,3.0358,0.3004,6.5499,103.9318,3.724,,,
51000,,,,,,,,,,,,,,,,,1000,1348.0408,37.673
51500,,,50,50,12,57.349,0.886,0.5886,1.2784,0.7165,-130.1814,3.192,0.3041,2.9728,99.4595,2.5017,,,
52000,,,50,50,12,58.4164,0.925,0.6726,1.3189,0.8045,-141.3464,3.3752,0.2775,3.9415,184.0028,2.038,,,
52000,,,,,,,,,,,,,,,,,1000,938.714,38.4998
52500,,,50,50,11,59.0718,0.8062,0.4748,1.2644,0.6013,-133.5855,2.6835,0.2573,4.2797,94.3127,2.9467,,,
53000,,,50,50,12,59.813,0.8841,0.6173,1.3138,0.7487,-132.198,2.7072,0.335,4.0819,95.4822,2.0388,,,
53000,,,,,,,,,,,,,,,,,1000,1352.5807,38.5474
53500,,,50,50,11,63.0626,0.9501,0.6823,1.3713,0.8195,-140.6057,3.1397,0.3129,7.1152,170.3836,2.9542,,,
54000,,,50,50,11,62.5843,0.9022,0.6664,1.2778,0.7942,-125.7625,4.1663,0.3183,4.828,113.7948,2.7875,,,
54000,,,,,,,,,,,,,,,,,1000,1005.4095,37.7126
54500,,,50,50,11,62.7999,0.9371,0.6391,1.3696,0.7761,-133.5811,3.9566,0.3179,7.1935,117.2289,2.0232,,,
55000,,,50,50,11,66.7799,0.9457,0.6395,1.2873,0.7682,-138.8286,4.2892,0.2996,3.8041,126.1349,2.4683,,,
55000,2529.6168,1000.0,,,,,,,,,,,,,,,,,
55000,,,,,,,,,,,,,,,,,1000,1513.8498,32.1359
55500,,,50,50,11,65.4498,0.9628,0.6987,1.3725,0.8359,-137.6137,2.4378,0.2862,7.818,140.4845,2.6324,,,
56000,,,50,50,11,62.4004,0.974,0.6782,1.3632,0.8145,-145.0612,3.6807,0.3153,2.3915,71.2949,2.1939,,,
56000,,,,,,,,,,,,,,,,,1000,1675.9365,37.6568
56500,,,50,50,11,59.7318,0.9599,0.6598,1.341,0.7939,-134.9812,3.4583,0.271,3.2699,46.378,1.8457,,,
57000,,,50,50,9,72.2238,0.9627,0.7178,1.3119,0.849,-143.107,2.6635,0.2538,2.7979,129.6546,2.5679,,,
57000,,,,,,,,,,,,,,,,,1000,1160.7553,37.8447
57500,,,50,50,11,67.0666,0.9614,0.7481,1.3565,0.8837,-138.4431,4.0153,0.2565,2.4706,137.6761,1.8069,,,
58000,,,50,50,11,68.2825,0.9795,0.6682,1.3433,0.8026,-138.321,4.3754,0.285,6.7359,140.8077,2.4516,,,
