env_steps,return,length,l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
104000,,,,,,,,,,1000,7765.9287,101.8127
104500,,,0.036,-555.7841,7.4878,0.036,7.602,589.2291,8.827,,,
105000,,,0.0342,-562.7548,8.9502,0.0342,7.4741,445.274,10.459,,,
105000,8135.1918,1000.0,,,,,,,,,,
105000,,,,,,,,,,1000,7630.0201,87.5471
105500,,,0.0358,-565.9868,7.2467,0.0358,6.9528,452.5811,7.6965,,,
106000,,,0.0337,-569.2288,6.6567,0.0337,7.7339,324.3756,9.9702,,,
106000,,,,,,,,,,1000,7563.6381,105.2405
106500,,,0.0348,-575.0521,7.3298,0.0348,6.7973,423.9585,7.8515,,,
107000,,,0.0375,-566.2952,12.7652,0.0375,9.2829,577.3123,6.2503,,,
107000,,,,,,,,,,1000,8009.8715,104.7347
107500,,,0.0352,-578.1979,6.6289,0.0352,7.9067,350.4952,8.542,,,
108000,,,0.0374,-577.3368,8.8437,0.0374,7.2318,599.6619,16.8068,,,
108000,,,,,,,,,,1000,8080.889,102.8251
108500,,,0.0327,-592.3185,10.2724,0.0327,11.4033,494.1604,9.244,,,
109000,,,0.0311,-593.3729,12.6064,0.0311,8.7518,781.8555,11.4617,,,
109000,,,,,,,,,,1000,7819.6967,104.6706
109500,,,0.0327,-592.2795,7.8721,0.0327,7.8792,709.3889,10.9201,,,
110000,,,0.0321,-596.2801,8.9698,0.0321,8.4554,798.793,10.8756,,,
110000,8423.4933,1000.0,,,,,,,,,,
110000,,,,,,,,,,1000,7859.7926,89.7982
110500,,,0.0322,-597.5762,10.2115,0.0322,8.1661,490.4737,8.8841,,,
111000,,,0.0315,-602.4806,8.0177,0.0315,7.7757,862.3316,7.8906,,,
111000,,,,,,,,,,1000,7858.22,102.9248
111500,,,0.0302,-612.337,10.8044,0.0302,7.9895,541.2638,4.9887,,,
112000,,,0.0327,-609.958,7.8219,0.0327,7.214,568.6884,9.9128,,,
112000,,,,,,,,,,1000,7992.4493,101.3461
112500,,,0.0289,-621.9274,6.3888,0.0289,11.7318,1252.0154,8.4547,,,
113000,,,0.0314,-617.831,9.0619,0.0314,8.904,847.1525,7.5157,,,
113000,,,,,,,,,,1000,8264.2985,101.249
113500,,,0.0305,-624.018,8.0561,0.0305,7.1131,437.3732,10.3417,,,
114000,,,0.03,-625.4329,6.0091,0.03,8.0843,641.2548,6.668,,,
114000,,,,,,,,,,1000,8217.5522,102.6192
