env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
19471,,,70,-116.1678,25.1959,,,,,,,,,,
19500,,,,,,8,3,1,2840.4231,110.0023,51.2439,50.758,8.7743,1934.2252,0.0
19533,,,62,-113.6938,23.5685,,,,,,,,,,
19609,,,76,-117.1794,29.4142,,,,,,,,,,
19676,,,67,-114.9036,28.8258,,,,,,,,,,
19756,,,80,-116.0742,22.5462,,,,,,,,,,
19831,,,75,-107.4572,25.4161,,,,,,,,,,
19890,,,59,-113.3346,26.9867,,,,,,,,,,
19954,,,64,-114.2272,24.7258,,,,,,,,,,
20000,,,,,,8,3,1,2805.7722,142.0355,285.7228,83.6205,18.4419,9311.7119,0.0009
20000,-118.8945,75.7,,,,,,,,,,,,,
20021,,,67,-115.7509,17.1427,,,,,,,,,,
20132,,,111,-118.6835,25.5823,,,,,,,,,,
20254,,,122,-119.3762,26.4543,,,,,,,,,,
20319,,,65,-113.9368,24.3224,,,,,,,,,,
20387,,,68,-114.9984,23.4936,,,,,,,,,,
20451,,,64,-115.641,23.1918,,,,,,,,,,
20500,,,,,,7,3,1,2851.571,161.5387,123.7269,97.1655,11.1557,6017.1606,0.0001
20516,,,65,-114.1797,26.3991,,,,,,,,,,
20597,,,81,-113.6888,27.8956,,,,,,,,,,
20731,,,134,-128.0213,25.6915,,,,,,,,,,
20854,,,123,-101.4067,26.5357,,,,,,,,,,
21000,,,,,,7,3,1,2832.6169,221.715,484.3208,160.5269,11.5979,4285.7969,0.0022
21029,,,175,-111.3583,29.2118,,,,,,,,,,
21500,,,,,,7,3,1,2864.5361,142.9091,104.2376,79.4673,14.6186,7782.2466,0.0004
22000,,,,,,7,3,1,2883.1023,178.4163,293.5256,116.7186,7.9666,664.5266,0.0
22500,,,,,,7,3,1,2971.2371,122.6401,141.2382,59.7638,13.6528,5619.8926,0.0506
22629,,,1600,-142.1244,24.9433,,,,,,,,,,
23000,,,,,,7,3,1,2736.8931,97.3642,159.7794,32.4579,6.3267,2514.9441,0.0
23500,,,,,,7,3,1,2747.9658,210.9913,256.625,148.0775,9.4309,4767.8799,0.0
24000,,,,,,7,3,1,2929.6265,174.161,280.6451,111.1609,4.1442,1710.0283,0.0
24229,,,1600,-144.1478,25.1929,,,,,,,,,,
24500,,,,,,7,3,1,2907.1318,108.082,203.999,47.762,5.5021,2675.3584,0.0
25000,,,,,,8,3,1,2876.3303,170.5887,226.8712,110.3735,6.0373,3617.498,0.356
25000,-165.5157,1302.5,,,,,,,,,,,,,
25500,,,,,,6,3,1,2964.7339,104.2142,132.4083,42.9673,5.8189,4025.8435,0.0
25829,,,1600,-144.3586,19.5395,,,,,,,,,,
26000,,,,,,6,3,1,2817.335,158.406,179.4502,97.832,3.3091,2234.5854,0.0
26500,,,,,,6,3,1,2898.5854,108.1361,128.4356,48.8514,4.0668,2044.4244,0.0
27000,,,,,,6,3,1,2891.6418,91.8664,153.1991,33.7046,4.9262,2256.6155,0.0
27429,,,1600,-138.1092,25.3511,,,,,,,,,,
27500,,,,,,6,3,1,2795.4751,148.2325,78.2792,87.5786,5.5685,3903.2056,0.0
28000,,,,,,6,3,1,2882.0562,110.8537,345.6066,54.0191,6.2217,4108.1763,0.0
28500,,,,,,7,3,1,2878.5259,111.4573,139.6951,52.6927,3.5336,1959.4601,0.0
29000,,,,,,6,3,1,2903.8381,130.0527,325.3619,72.1664,4.9069,4505.8789,0.0
29029,,,1600,-141.2179,25.7869,,,,,,,,,,
