env_steps,return,length,train/length,train/return,FPS,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm
19050,,,50,-47.3248,84.5964,,,,,,,
19100,,,50,-53.1268,84.2369,,,,,,,
19150,,,50,-54.6732,86.0471,,,,,,,
19200,,,50,-49.5658,87.7096,,,,,,,
19250,,,50,-50.2389,90.8551,,,,,,,
19300,,,50,-55.1193,88.1633,,,,,,,
19350,,,50,-55.8369,84.6642,,,,,,,
19400,,,50,-62.5766,83.9746,,,,,,,
19450,,,50,-53.6471,84.4389,,,,,,,
19500,,,,,,18.4227,4.3844,0.0005,-0.0173,0.2647,11.1808,0.6494
19500,,,50,-58.0586,84.431,,,,,,,
19550,,,50,-45.967,84.5683,,,,,,,
19600,,,50,-55.1428,84.2173,,,,,,,
19650,,,50,-49.8396,84.3295,,,,,,,
19700,,,50,-46.8843,87.2405,,,,,,,
19750,,,50,-53.7551,89.8457,,,,,,,
19800,,,50,-50.1314,88.5615,,,,,,,
19850,,,50,-50.1257,89.5412,,,,,,,
19900,,,50,-51.0691,86.7774,,,,,,,
19950,,,50,-47.928,91.0044,,,,,,,
20000,,,,,,18.5001,4.4059,0.0007,-0.018,0.2257,9.8445,0.6251
20000,-6.7521,50.0,,,,,,,,,,
20000,,,50,-48.2283,77.3412,,,,,,,
20050,,,50,-49.3178,90.8091,,,,,,,
20100,,,50,-48.3371,90.9587,,,,,,,
20150,,,50,-47.6103,89.0955,,,,,,,
20200,,,50,-46.4535,84.7466,,,,,,,
20250,,,50,-60.5875,81.5593,,,,,,,
20300,,,50,-53.3424,84.709,,,,,,,
20350,,,50,-54.7432,84.3589,,,,,,,
20400,,,50,-49.5495,84.0642,,,,,,,
20450,,,50,-50.8443,84.2084,,,,,,,
20500,,,,,,18.866,2.6264,0.0007,-0.0194,0.2427,13.5408,0.8527
20500,,,50,-57.0178,84.2732,,,,,,,
20550,,,50,-45.6243,84.5038,,,,,,,
20600,,,50,-54.8003,83.8273,,,,,,,
20650,,,50,-48.3849,84.4995,,,,,,,
20700,,,50,-50.4456,84.4332,,,,,,,
20750,,,50,-46.5424,84.5475,,,,,,,
20800,,,50,-52.2528,84.3119,,,,,,,
20850,,,50,-46.5988,84.3135,,,,,,,
20900,,,50,-56.7267,84.1308,,,,,,,
20950,,,50,-47.0867,84.2351,,,,,,,
21000,,,,,,18.8561,2.4065,0.0005,-0.0173,0.2261,11.6672,0.8416
21000,,,50,-52.0228,84.0847,,,,,,,
21050,,,50,-58.6257,84.3582,,,,,,,
21100,,,50,-54.7148,84.3637,,,,,,,
21150,,,50,-46.7993,84.4076,,,,,,,
21200,,,50,-49.5308,84.5327,,,,,,,
21250,,,50,-57.3659,83.7917,,,,,,,
21300,,,50,-51.8429,84.3883,,,,,,,
21350,,,50,-52.5562,84.5259,,,,,,,
21400,,,50,-56.2061,84.4024,,,,,,,
21450,,,50,-51.8653,84.4316,,,,,,,
21500,,,,,,19.114,2.4746,0.0007,-0.0175,0.274,15.8527,0.52
21500,,,50,-57.3823,84.3673,,,,,,,
21550,,,50,-46.7839,84.573,,,,,,,
21600,,,50,-58.9648,83.6476,,,,,,,
21650,,,50,-48.9309,83.9884,,,,,,,
