env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
70000,,,0.9343,0.8263,0.0879,-160.5548,12.2488,0.7637,8.9658,68.2404,1.2171,,,
70000,3137.5485,1000.0,,,,,,,,,,,,
70000,,,,,,,,,,,,1000,2645.611,33.1077
70500,,,0.9394,0.8225,0.0877,-159.1277,11.2956,0.7711,6.4488,31.8062,1.7634,,,
71000,,,0.9463,0.8301,0.0878,-158.7386,15.6901,0.7851,7.0691,48.9147,1.6368,,,
71000,,,,,,,,,,,,1000,2640.32,40.7267
71500,,,0.9672,0.8342,0.092,-156.6716,11.1492,0.8195,7.4274,88.6167,2.2824,,,
72000,,,0.9311,0.8292,0.0891,-167.4205,13.5879,0.7535,5.9474,15.0074,2.0778,,,
72000,,,,,,,,,,,,1000,2921.2817,38.1402
72500,,,0.9608,0.8215,0.0908,-164.9779,15.7012,0.8103,8.04,50.2487,1.5324,,,
73000,,,0.946,0.8346,0.0878,-165.4471,15.1305,0.7834,5.5623,66.487,2.3458,,,
73000,,,,,,,,,,,,1000,2648.8249,35.5268
73500,,,0.9477,0.8343,0.0887,-163.5864,14.1569,0.7994,7.3602,32.5501,1.4823,,,
74000,,,0.9611,0.8238,0.0903,-172.2123,14.7618,0.8103,7.4025,37.1625,1.2635,,,
74000,,,,,,,,,,,,1000,2931.9022,41.3916
74500,,,0.9587,0.8389,0.0905,-167.2454,12.6972,0.8087,6.3322,48.2945,1.8382,,,
75000,,,0.9509,0.835,0.0897,-167.2206,14.0849,0.7912,6.2723,90.2662,1.8128,,,
75000,3289.1503,1000.0,,,,,,,,,,,,
75000,,,,,,,,,,,,1000,2933.4863,33.644
75500,,,0.9778,0.8381,0.0932,-176.4,15.1344,0.8403,6.4375,30.0484,1.4651,,,
76000,,,0.946,0.8441,0.0887,-179.2053,14.9747,0.7815,5.975,42.7093,1.4313,,,
76000,,,,,,,,,,,,1000,2240.2369,33.6658
76500,,,0.9433,0.8511,0.0886,-176.362,12.0259,0.7787,7.644,40.3093,1.8956,,,
77000,,,0.9486,0.8377,0.0894,-184.5887,11.3812,0.7933,6.5169,29.2474,2.289,,,
77000,,,,,,,,,,,,1000,3111.1572,36.0944
77500,,,0.9906,0.8483,0.0951,-184.8344,14.775,0.8539,6.7422,73.7721,1.514,,,
78000,,,0.9701,0.8486,0.092,-179.477,13.8617,0.8255,6.1064,52.9754,1.8435,,,
78000,,,,,,,,,,,,1000,2948.4842,39.3544
78500,,,0.97,0.845,0.092,-183.4465,12.4019,0.8266,6.1523,27.2453,1.3784,,,
79000,,,0.9663,0.8456,0.0908,-189.6904,13.2935,0.8176,7.0514,59.6152,1.8472,,,
79000,,,,,,,,,,,,1000,3248.9756,40.7959
79500,,,0.935,0.8382,0.0893,-187.587,15.9188,0.7645,6.4842,40.399,2.2978,,,
80000,,,0.971,0.8481,0.0922,-189.4702,13.0762,0.8259,7.1867,122.0818,1.2394,,,
