env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
60500,,,1.2482,1.4347,0.4695,-176.9519,3.3753,3.8776,-0.4649,2.4869,73.3954,3.1725,,,
61000,,,1.2203,1.4639,0.4534,-183.6603,3.3953,3.9765,-0.4586,2.4919,88.6189,4.0303,,,
61000,,,,,,,,,,,,,1000,2755.0273,37.761
61500,,,1.2403,1.4721,0.4606,-183.0043,3.2562,4.107,-0.4667,2.5027,101.9454,3.5113,,,
62000,,,1.255,1.4827,0.4719,-182.0828,2.8523,4.226,-0.4676,2.6301,78.0254,3.1791,,,
62000,,,,,,,,,,,,,1000,2866.1996,37.2616
62500,,,1.2544,1.5121,0.4704,-187.8836,3.3679,4.2996,-0.4623,2.6086,88.6872,3.6738,,,
63000,,,1.2346,1.501,0.4654,-187.1513,3.215,4.3029,-0.4555,2.8139,78.3168,2.465,,,
63000,,,,,,,,,,,,,1000,2773.0611,37.1052
63500,,,1.2566,1.5106,0.4694,-186.1832,3.1303,4.1603,-0.4698,2.6044,94.4197,3.434,,,
64000,,,1.2326,1.5949,0.464,-191.7134,3.8366,4.7435,-0.4619,2.4281,89.8098,4.687,,,
64000,,,,,,,,,,,,,1000,2823.6834,36.8655
64500,,,1.2397,1.5438,0.4666,-192.6768,3.7101,4.4963,-0.4777,2.6635,104.459,4.1763,,,
65000,,,1.2381,1.541,0.4652,-193.1329,4.1304,4.4226,-0.4626,2.6025,106.6844,4.113,,,
65000,3751.1371,1000.0,,,,,,,,,,,,,
65000,,,,,,,,,,,,,1000,2951.514,33.4621
65500,,,1.2188,1.5207,0.4489,-198.591,3.288,4.2369,-0.4593,2.8721,78.4742,3.937,,,
66000,,,1.2434,1.5615,0.4652,-199.6456,3.8296,4.5011,-0.4599,3.1818,68.0626,6.0436,,,
66000,,,,,,,,,,,,,1000,2865.8443,37.8936
66500,,,1.2294,1.5641,0.4604,-197.8661,4.4217,4.5943,-0.4669,2.5623,83.9376,1.7658,,,
67000,,,1.2213,1.5427,0.455,-200.5502,3.4772,4.4878,-0.462,2.6054,51.2458,3.8939,,,
67000,,,,,,,,,,,,,1000,3009.671,36.8429
67500,,,1.2304,1.6536,0.4568,-205.2932,2.8605,4.9849,-0.4614,2.8319,116.0706,4.4401,,,
68000,,,1.2421,1.5644,0.4653,-206.0988,3.4327,4.6143,-0.4641,2.5374,133.2273,3.3214,,,
68000,,,,,,,,,,,,,1000,2995.0115,36.6537
68500,,,1.2366,1.605,0.4656,-208.1823,4.0893,4.7363,-0.4639,2.8348,102.5138,4.55,,,
69000,,,1.2345,1.63,0.4618,-209.3969,3.3756,4.9424,-0.4571,2.4644,95.4887,3.3916,,,
69000,,,,,,,,,,,,,1000,3187.5535,36.6667
69500,,,1.253,1.6419,0.4678,-209.0582,3.6312,4.9158,-0.4582,2.5953,94.1553,4.0351,,,
70000,,,1.2189,1.5843,0.4525,-213.5481,3.9051,4.5535,-0.4575,2.682,90.8459,4.995,,,
70000,4085.4164,1000.0,,,,,,,,,,,,,
70000,,,,,,,,,,,,,1000,3158.9454,34.0402
70500,,,1.2473,1.6481,0.4656,-215.4109,3.4466,5.0425,-0.4484,2.5825,74.8781,3.1898,,,
71000,,,1.2333,1.7286,0.4611,-217.522,3.1582,5.3689,-0.4647,2.7528,164.32,3.9075,,,
71000,,,,,,,,,,,,,1000,3196.6344,36.3323
71500,,,1.2349,1.6304,0.4642,-214.3516,3.2709,4.8813,-0.4513,2.9209,111.4517,4.7405,,,
72000,,,1.2222,1.6437,0.4539,-220.4719,3.6805,4.9696,-0.4657,2.528,77.8167,6.3701,,,
72000,,,,,,,,,,,,,1000,3257.7224,37.9728
72500,,,1.251,1.6567,0.4709,-220.0202,3.5454,5.0702,-0.4648,2.3391,110.3941,3.7681,,,
73000,,,1.227,1.607,0.4592,-217.5579,3.8697,4.8447,-0.4587,2.6883,99.3182,5.7578,,,
73000,,,,,,,,,,,,,1000,3316.7973,36.7156
73500,,,1.2,1.6439,0.4461,-222.7068,3.1706,4.9922,-0.4546,2.6363,123.5911,4.5088,,,
74000,,,1.2309,1.7298,0.4637,-227.2137,3.8089,5.3756,-0.4632,3.6257,179.1948,5.2177,,,
74000,,,,,,,,,,,,,1000,3539.0185,38.0127
74500,,,1.231,1.7476,0.4584,-225.5476,4.47,5.5188,-0.4638,2.7311,77.8011,6.0774,,,
75000,,,1.2429,1.641,0.4708,-222.5468,3.0957,5.1142,-0.4605,2.519,113.7235,4.0276,,,
75000,4134.9406,1000.0,,,,,,,,,,,,,
75000,,,,,,,,,,,,,1000,3459.4615,34.1965
75500,,,1.2391,1.719,0.464,-229.7006,4.091,5.3027,-0.4613,2.821,153.4826,6.115,,,
76000,,,1.2224,1.6936,0.4601,-236.6056,3.3309,5.2368,-0.4699,2.4631,94.6983,3.384,,,
76000,,,,,,,,,,,,,1000,3521.2606,37.0039
76500,,,1.2332,1.7276,0.4685,-229.331,3.7202,5.594,-0.4645,2.8037,130.4323,4.7492,,,
77000,,,1.224,1.7296,0.457,-235.0045,4.848,5.5568,-0.4623,2.9005,92.0056,5.7132,,,
77000,,,,,,,,,,,,,1000,3495.7676,37.7195
77500,,,1.2241,1.7643,0.4586,-237.3661,4.6934,5.8152,-0.4579,2.6353,97.0564,4.5322,,,
78000,,,1.2416,1.7299,0.4646,-239.5806,3.7523,5.4642,-0.4599,2.7785,140.1638,4.2789,,,
78000,,,,,,,,,,,,,1000,3506.7485,37.5759
78500,,,1.2599,1.8046,0.4773,-234.5823,4.1266,5.8921,-0.4781,2.7349,112.2947,2.8824,,,
79000,,,1.2356,1.8797,0.4676,-240.8499,3.1547,6.4111,-0.4572,2.4885,99.8959,5.0126,,,
79000,,,,,,,,,,,,,1000,3667.5438,37.058
79500,,,1.2186,1.8173,0.4543,-242.4834,3.451,5.8706,-0.4663,2.3104,146.2522,3.7788,,,
80000,,,1.2188,1.8232,0.4518,-246.2249,3.0553,6.0389,-0.4627,2.2783,101.5377,3.9663,,,
80000,4360.755,1000.0,,,,,,,,,,,,,
80000,,,,,,,,,,,,,1000,3816.0391,33.4704
80500,,,1.2436,1.8774,0.4706,-247.506,5.0462,6.3614,-0.4593,2.3793,85.4995,7.0753,,,
81000,,,1.2089,1.8105,0.4483,-251.2755,3.9349,5.9049,-0.4552,2.7442,106.9694,4.6283,,,
81000,,,,,,,,,,,,,1000,3534.1049,37.3124
81500,,,1.2388,1.8484,0.4683,-245.5462,4.9882,6.2173,-0.463,3.1418,129.7947,4.1824,,,
82000,,,1.2452,1.8064,0.4684,-243.1522,3.4122,5.9677,-0.4617,2.5564,112.128,5.4929,,,
82000,,,,,,,,,,,,,1000,3889.8867,37.2902
82500,,,1.2242,1.8383,0.4558,-252.9289,3.068,6.0464,-0.449,2.5001,86.1929,4.3496,,,
83000,,,1.2254,1.8149,0.4503,-251.8059,4.361,5.8099,-0.4464,2.7546,169.7826,4.8894,,,
83000,,,,,,,,,,,,,1000,3770.6814,37.3371
83500,,,1.2282,1.8029,0.4607,-251.7798,3.71,5.9651,-0.4653,2.5364,127.1968,4.067,,,
84000,,,1.2187,1.8057,0.4533,-258.7385,3.5546,5.9579,-0.4599,3.0824,158.9032,7.1059,,,
84000,,,,,,,,,,,,,1000,3887.7326,37.9399
84500,,,1.2287,1.8235,0.4614,-255.5858,3.6976,6.1295,-0.4669,2.2493,119.0382,6.1937,,,
85000,,,1.2394,1.8831,0.4665,-255.2612,3.3224,6.4471,-0.4621,2.3543,119.4786,4.8501,,,
85000,4414.9754,1000.0,,,,,,,,,,,,,
85000,,,,,,,,,,,,,1000,3963.4698,34.121
85500,,,1.2267,1.8068,0.458,-260.1858,5.3541,5.9885,-0.4677,2.6517,138.1157,4.8979,,,
86000,,,1.23,1.8001,0.4613,-259.6946,2.9921,5.8958,-0.4697,2.5475,123.5462,2.8427,,,
86000,,,,,,,,,,,,,1000,3958.5027,37.6296
86500,,,1.2348,1.9102,0.4709,-262.179,4.4849,6.7061,-0.4684,2.3993,100.9538,5.2376,,,
87000,,,1.2369,1.9695,0.4652,-266.0099,3.5462,6.8529,-0.4667,2.6007,157.6528,3.6211,,,
87000,,,,,,,,,,,,,1000,3966.1756,37.4623
87500,,,1.2338,1.9672,0.4688,-265.9325,3.4775,6.902,-0.4581,2.3833,90.2816,5.1809,,,
88000,,,1.247,1.9069,0.4729,-265.1932,3.2385,6.6257,-0.4654,2.3571,99.9324,4.5247,,,
88000,,,,,,,,,,,,,1000,4128.3429,37.2975
88500,,,1.2197,2.002,0.4554,-271.4714,3.5267,7.0276,-0.4574,2.7189,119.2985,5.6806,,,
89000,,,1.2329,1.8794,0.4613,-270.2874,4.5856,6.2724,-0.4624,2.4458,95.8814,7.6374,,,
89000,,,,,,,,,,,,,1000,4105.2216,36.9538
