env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
54500,,,2.6136,1.2583,0.9169,-120.6687,8.4424,0.8304,-0.9333,5.7914,23.7745,1.9503,,,
55000,,,2.6992,1.2946,0.9414,-126.1732,8.1324,0.8573,-0.9023,5.2412,27.1262,1.2708,,,
55000,2843.4132,1000.0,,,,,,,,,,,,,
55000,,,,,,,,,,,,,1000,1822.6046,31.6443
55500,,,2.7586,1.2695,0.9792,-126.3585,10.0578,0.9474,-0.9218,4.5027,35.0284,1.9873,,,
56000,,,2.6503,1.3256,0.9393,-125.1144,9.0595,0.8585,-0.9443,3.8068,59.4165,1.9899,,,
56000,,,,,,,,,,,,,1000,734.3954,33.7912
56500,,,2.6589,1.2982,0.9415,-126.6792,7.4316,0.8197,-0.9161,3.8677,33.4465,1.6191,,,
57000,,,2.7075,1.3127,0.9473,-128.911,7.068,0.8955,-0.944,3.3199,20.2611,1.6922,,,
57000,,,,,,,,,,,,,1000,2019.6519,33.7212
57500,,,2.7683,1.3097,0.9691,-127.161,7.7442,0.8905,-0.9475,3.6079,21.152,1.6412,,,
58000,,,2.7527,1.3291,0.9675,-129.186,8.1369,0.8746,-0.9591,5.9528,48.1473,2.2481,,,
58000,,,,,,,,,,,,,1000,2090.4965,33.6037
58500,,,2.6706,1.2777,0.9035,-130.6231,8.9527,0.9127,-0.9123,4.0782,31.6955,1.9344,,,
59000,,,2.7616,1.2861,0.9477,-130.3258,9.9251,0.9145,-0.9567,4.295,25.9602,2.1605,,,
59000,,,,,,,,,,,,,1000,2025.7664,33.7593
59500,,,2.7694,1.3119,0.9803,-138.8908,7.932,0.9093,-0.976,3.5318,29.7697,2.0795,,,
60000,,,2.76,1.3324,0.9844,-139.7557,8.489,0.855,-0.9727,4.4205,94.465,2.0365,,,
60000,2850.3269,1000.0,,,,,,,,,,,,,
60000,,,,,,,,,,,,,1000,2194.1811,31.5717
60500,,,2.8005,1.3632,0.9943,-136.5365,8.75,0.8655,-1.0106,6.486,36.1607,2.3416,,,
61000,,,2.7447,1.2912,0.9713,-141.7098,9.1449,0.9093,-0.9949,6.2927,41.282,1.7284,,,
61000,,,,,,,,,,,,,1000,2310.969,33.7321
61500,,,2.8234,1.3546,0.9797,-141.9063,8.4707,0.8747,-1.0009,4.3698,78.0684,1.5992,,,
62000,,,2.8411,1.3541,0.9924,-139.721,8.6038,0.8882,-0.9973,7.9145,49.6735,1.7882,,,
62000,,,,,,,,,,,,,1000,2187.0495,33.6931
62500,,,2.8471,1.3516,1.0391,-145.7897,7.3194,0.8902,-0.9758,4.9798,33.2487,1.6224,,,
63000,,,2.8079,1.3661,1.0506,-143.8629,8.7506,0.8356,-1.0437,4.2383,40.3969,2.6313,,,
63000,,,,,,,,,,,,,1000,2267.6744,33.6321
63500,,,2.835,1.3373,1.0009,-146.2433,9.597,0.8785,-0.9924,3.7004,20.9845,1.9485,,,
64000,,,2.8664,1.3875,1.0221,-151.3488,8.1083,0.889,-1.0384,5.2416,112.7339,2.1182,,,
64000,,,,,,,,,,,,,1000,1547.204,33.7886
64500,,,2.8224,1.3368,1.0016,-147.4774,9.0997,0.8551,-1.0133,4.7435,32.6465,1.7207,,,
65000,,,2.8194,1.3254,1.03,-152.0043,8.5617,0.8786,-1.0584,4.4432,63.755,1.5517,,,
65000,3116.9132,1000.0,,,,,,,,,,,,,
65000,,,,,,,,,,,,,1000,2427.5262,31.5268
65500,,,2.9387,1.3493,1.0585,-151.9312,9.2705,0.891,-1.0464,6.4931,46.235,1.1379,,,
66000,,,2.9127,1.3991,1.047,-155.3951,8.1485,0.8761,-1.0662,8.5839,62.5591,1.7812,,,
66000,,,,,,,,,,,,,1000,1573.8221,33.816
66500,,,2.9815,1.4923,1.097,-151.2111,8.4859,0.7725,-1.039,4.9446,104.297,2.4607,,,
67000,,,2.8738,1.3639,1.048,-152.8352,8.0884,0.8854,-1.0505,3.9079,61.0958,2.0486,,,
67000,,,,,,,,,,,,,1000,1711.157,33.5774
67500,,,2.9455,1.3746,1.0842,-154.4264,9.0355,0.8645,-1.0674,4.8469,106.9571,2.6514,,,
68000,,,2.9595,1.4558,1.0825,-151.9436,8.746,0.8379,-1.1075,3.5074,28.3579,1.7735,,,
68000,,,,,,,,,,,,,1000,2458.0337,33.6314
68500,,,3.0145,1.5182,1.1308,-155.7054,8.0674,0.766,-1.1233,5.5598,101.0312,2.003,,,
69000,,,2.9628,1.3925,1.079,-157.8566,8.2456,0.9595,-1.0758,5.2897,57.3353,1.4088,,,
69000,,,,,,,,,,,,,1000,2498.5601,33.7942
69500,,,2.9568,1.4146,1.0821,-162.6202,8.3764,0.8873,-1.0548,4.4503,46.6123,1.5904,,,
70000,,,2.9534,1.3791,1.0769,-162.4953,8.7309,0.9039,-1.1044,3.9609,22.1778,1.756,,,
70000,3352.8973,1000.0,,,,,,,,,,,,,
70000,,,,,,,,,,,,,1000,2609.3693,31.6526
70500,,,3.0211,1.4909,1.121,-164.168,9.54,0.829,-1.1714,5.197,42.5328,2.5621,,,
71000,,,3.0801,1.475,1.1135,-166.2593,11.0758,0.9273,-1.0523,4.6729,30.2904,2.4076,,,
71000,,,,,,,,,,,,,1000,2689.3711,33.8256
71500,,,3.0665,1.5133,1.1127,-165.4265,8.2387,0.8502,-1.0914,6.0826,40.729,2.3632,,,
72000,,,3.1189,1.4983,1.1695,-168.1808,7.5153,0.8919,-1.171,3.7787,29.4421,2.0328,,,
72000,,,,,,,,,,,,,1000,2619.0037,33.7625
72500,,,3.0917,1.515,1.1342,-171.0373,9.4974,0.8615,-1.1199,4.3813,22.4343,1.8364,,,
73000,,,3.1269,1.5265,1.1599,-172.4661,7.9734,0.9099,-1.1418,3.8562,34.6746,1.9149,,,
73000,,,,,,,,,,,,,1000,2496.7735,33.7831
73500,,,3.135,1.512,1.2002,-172.8938,8.2023,0.8633,-1.1757,4.6688,57.9146,2.1788,,,
74000,,,3.086,1.4952,1.1493,-173.8748,9.7129,0.8917,-1.1797,3.9973,48.0568,2.0211,,,
74000,,,,,,,,,,,,,1000,2794.6765,33.7069
74500,,,3.14,1.5114,1.1724,-175.6455,10.47,0.8994,-1.1803,4.5505,49.1049,1.8702,,,
75000,,,3.1078,1.4249,1.1471,-174.7149,9.8982,0.9175,-1.1605,4.4106,74.422,2.4962,,,
75000,3425.0569,1000.0,,,,,,,,,,,,,
75000,,,,,,,,,,,,,1000,2812.5318,31.5263
75500,,,3.0302,1.4237,1.1118,-179.4096,8.9336,0.8684,-1.1569,4.1505,97.9008,2.6341,,,
76000,,,3.1489,1.5222,1.1762,-179.1802,8.1724,0.8524,-1.1834,3.6628,44.5316,2.0389,,,
76000,,,,,,,,,,,,,1000,2962.7474,33.7565
76500,,,3.2606,1.643,1.2315,-180.9795,7.862,0.8398,-1.1757,3.9994,92.9492,2.4846,,,
77000,,,3.1137,1.5173,1.1921,-180.5598,7.5635,0.7995,-1.2215,5.3485,41.8332,2.4568,,,
77000,,,,,,,,,,,,,1000,3039.2401,33.7153
77500,,,3.1299,1.5314,1.2,-179.2828,10.8587,0.8474,-1.1663,6.1401,81.5682,1.8993,,,
78000,,,3.2336,1.5562,1.2407,-185.5677,8.3593,0.8226,-1.2299,5.5966,90.642,2.7452,,,
78000,,,,,,,,,,,,,1000,3125.8768,33.5905
78500,,,3.212,1.5403,1.2272,-187.5214,9.2876,0.9244,-1.2423,3.8738,32.6836,1.5528,,,
79000,,,3.1829,1.5424,1.2254,-192.5532,8.5323,0.8096,-1.2098,5.144,74.108,2.2915,,,
79000,,,,,,,,,,,,,1000,3170.4188,33.6415
79500,,,3.2459,1.6,1.2271,-194.6969,8.4828,0.8084,-1.2404,4.8058,24.969,1.7249,,,
80000,,,3.2854,1.5741,1.2437,-192.6588,9.8109,0.8998,-1.2917,5.1409,87.9045,3.1041,,,
80000,3188.661,1000.0,,,,,,,,,,,,,
80000,,,,,,,,,,,,,1000,3180.5958,31.4325
80500,,,3.2798,1.5336,1.2707,-195.1457,10.6386,0.8846,-1.2452,4.6012,41.6302,2.2643,,,
81000,,,3.2335,1.508,1.2385,-193.0672,8.9911,0.8927,-1.2617,5.5217,51.1703,1.4602,,,
81000,,,,,,,,,,,,,1000,3263.2899,33.7544
81500,,,3.4347,1.6652,1.3265,-196.6931,9.023,0.8695,-1.2832,6.3486,113.5093,1.9326,,,
82000,,,3.3079,1.6223,1.3189,-199.7274,11.317,0.8235,-1.2925,4.8104,114.6359,2.4063,,,
82000,,,,,,,,,,,,,1000,3057.9456,33.5501
82500,,,3.3463,1.6724,1.2866,-200.9312,9.8171,0.8239,-1.292,5.2996,44.4288,2.0348,,,
83000,,,3.3162,1.5837,1.2806,-197.6485,8.5363,0.8651,-1.2906,5.9235,28.4816,1.7279,,,
83000,,,,,,,,,,,,,1000,3194.0327,33.604
83500,,,3.3787,1.6324,1.3133,-198.9901,10.7666,0.8773,-1.2784,4.8009,70.2405,3.1524,,,
84000,,,3.463,1.6782,1.3384,-207.6922,10.6734,0.9125,-1.3409,4.7074,25.8576,2.7942,,,
84000,,,,,,,,,,,,,1000,3303.6789,33.7257
84500,,,3.3785,1.6142,1.2931,-206.73,11.6089,0.9765,-1.3595,4.4327,60.586,2.789,,,
85000,,,3.3722,1.6282,1.304,-205.4966,11.0664,0.8858,-1.292,7.9057,60.5153,2.7909,,,
85000,3828.825,1000.0,,,,,,,,,,,,,
85000,,,,,,,,,,,,,1000,3315.0608,31.4189
85500,,,3.4703,1.6833,1.3423,-208.0056,9.5827,0.896,-1.3537,5.7829,169.3533,2.5794,,,
86000,,,3.4756,1.6367,1.3512,-209.1051,9.9312,0.9707,-1.3021,5.2168,95.7784,2.096,,,
86000,,,,,,,,,,,,,1000,3344.0029,33.7119
86500,,,3.5068,1.6851,1.324,-205.5851,12.9019,0.9153,-1.325,4.9893,44.5796,2.7627,,,
87000,,,3.4967,1.6823,1.3619,-210.6167,10.235,0.9116,-1.3804,5.9519,73.3231,2.081,,,
87000,,,,,,,,,,,,,1000,3419.3189,33.7397
87500,,,3.5755,1.7454,1.427,-215.6438,11.6574,0.8561,-1.3934,4.8726,95.976,1.7979,,,
88000,,,3.5487,1.6583,1.3712,-214.7493,9.2557,0.969,-1.4047,5.2273,35.5783,1.7446,,,
88000,,,,,,,,,,,,,1000,3418.3768,33.7364
88500,,,3.6016,1.7681,1.4147,-218.5846,13.5351,0.7812,-1.4146,7.1343,95.4655,2.1066,,,
89000,,,3.6008,1.7259,1.431,-220.7407,11.2064,0.8648,-1.3966,7.0353,95.8587,2.4514,,,
89000,,,,,,,,,,,,,1000,3529.3181,33.7579
