env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
56500,,,1.5505,0.8298,0.1639,-173.939,5.7091,0.4233,4.2388,69.2472,1.7957,,,
57000,,,1.5436,0.8225,0.1636,-170.1155,7.9219,0.4296,3.3435,29.1598,2.305,,,
57000,,,,,,,,,,,,1000,2280.6459,100.4792
57500,,,1.5647,0.8231,0.1664,-171.0088,6.994,0.4604,3.589,24.8742,1.6556,,,
58000,,,1.593,0.8188,0.1698,-177.0944,7.2089,0.4863,4.0748,28.6023,2.102,,,
58000,,,,,,,,,,,,1000,2466.8696,101.1585
58500,,,1.5354,0.8181,0.1634,-176.0002,5.7739,0.433,3.2187,29.7776,1.6813,,,
59000,,,1.5708,0.8267,0.1678,-178.3157,6.4024,0.4528,3.4688,88.9339,1.7534,,,
59000,,,,,,,,,,,,1000,2396.7338,100.3073
59500,,,1.5623,0.8193,0.1664,-178.5253,7.9073,0.4484,3.193,31.0963,1.391,,,
60000,,,1.5651,0.8236,0.1655,-180.5273,7.4892,0.4665,3.3338,34.9464,2.5505,,,
60000,3154.3781,1000.0,,,,,,,,,,,,
60000,,,,,,,,,,,,1000,2660.8614,82.1776
60500,,,1.5575,0.8166,0.1653,-180.3863,8.4655,0.4717,3.3595,33.3302,1.7984,,,
61000,,,1.5241,0.8031,0.1617,-177.0727,7.2959,0.4501,3.7903,42.4572,1.6901,,,
61000,,,,,,,,,,,,1000,1465.5409,99.5037
61500,,,1.5774,0.8167,0.1686,-183.7977,6.7261,0.4939,3.9217,31.7218,2.1931,,,
62000,,,1.5705,0.8262,0.1675,-185.0954,6.409,0.457,3.4684,18.4374,2.3755,,,
62000,,,,,,,,,,,,1000,2671.3783,99.5277
62500,,,1.5824,0.8264,0.1691,-182.9197,7.3302,0.473,4.1444,28.667,2.2147,,,
63000,,,1.5825,0.8129,0.1683,-184.8958,7.4639,0.4995,3.1212,51.0358,1.1676,,,
63000,,,,,,,,,,,,1000,2399.2625,100.6283
63500,,,1.5366,0.8229,0.163,-188.1737,7.9592,0.4324,3.6838,67.2306,2.7032,,,
64000,,,1.5513,0.8323,0.1636,-186.4745,7.7479,0.4432,3.7798,24.151,2.4586,,,
64000,,,,,,,,,,,,1000,2505.1648,100.4296
64500,,,1.588,0.8253,0.1694,-193.8292,6.3729,0.483,3.2509,58.2219,2.3942,,,
65000,,,1.5727,0.8224,0.1672,-194.5594,8.0196,0.464,4.97,124.9306,2.0757,,,
65000,3453.5665,1000.0,,,,,,,,,,,,
65000,,,,,,,,,,,,1000,2695.2763,82.7882
65500,,,1.5493,0.8237,0.1648,-191.7749,8.3114,0.4492,3.5649,148.369,1.5777,,,
66000,,,1.5812,0.822,0.1679,-191.1701,5.9381,0.4718,4.1533,50.0835,1.1877,,,
66000,,,,,,,,,,,,1000,2715.1325,102.1686
66500,,,1.5707,0.8281,0.168,-193.5267,6.3215,0.461,3.8852,59.9635,1.6793,,,
67000,,,1.5499,0.8257,0.1634,-195.5559,6.509,0.4312,3.1327,89.5865,1.3221,,,
67000,,,,,,,,,,,,1000,2822.0422,99.3302
67500,,,1.5598,0.8337,0.1664,-198.296,7.554,0.4479,4.0022,41.6496,2.0879,,,
68000,,,1.5817,0.8336,0.1678,-199.0027,5.867,0.4765,3.054,64.5256,1.8289,,,
68000,,,,,,,,,,,,1000,2781.8914,99.4799
68500,,,1.5849,0.8304,0.1684,-202.0986,8.764,0.4838,3.1728,83.1248,2.1822,,,
69000,,,1.6009,0.8253,0.169,-203.7315,7.4699,0.516,3.8251,56.0827,2.3337,,,
69000,,,,,,,,,,,,1000,2937.4411,99.5403
69500,,,1.5947,0.8337,0.1695,-207.9002,7.0781,0.4907,3.3604,34.8551,2.1353,,,
70000,,,1.5646,0.8231,0.1668,-205.0428,7.3906,0.4561,3.3511,74.3607,1.5483,,,
70000,3528.4761,1000.0,,,,,,,,,,,,
