env_steps,return,length,train/length,train/return,FPS,rkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,critic_loss,critic_grad_norm,actor_grad_norm
64000,,,,,,4320.1504,-44.1823,-44.1823,4326.2578,21425.4082,1.5321,86.5506,0.6177
64500,,,,,,5023.3057,-44.1823,-44.1823,5029.5029,22336.3008,2.9012,223.6288,1.0243
64843,,,1600,-39.6632,82.7807,,,,,,,,
64952,,,109,-112.694,82.577,,,,,,,,
65000,,,,,,3994.7786,-44.1823,-44.1823,4002.0598,22203.5781,2.1767,122.9231,0.7205
65000,-84.8775,1306.1,,,,,,,,,,,
65500,,,,,,4596.0996,-44.1823,-44.1823,4603.8564,28130.3672,1.8278,106.0202,0.8982
66000,,,,,,4326.3037,-44.1823,-44.1823,4333.4307,25683.2559,1.6733,79.9089,0.7347
66500,,,,,,4681.7573,-44.1823,-44.1823,4687.9346,26728.9043,1.4737,109.6445,0.8133
66552,,,1600,-21.2479,52.6318,,,,,,,,
67000,,,,,,4532.1001,-44.1823,-44.1823,4539.1245,25734.4746,1.189,93.518,0.6453
67136,,,584,-139.4076,82.7666,,,,,,,,
67282,,,146,-113.5596,82.9262,,,,,,,,
67392,,,110,-111.7248,82.885,,,,,,,,
67500,,,,,,4513.5049,-44.1823,-44.1823,4519.1323,36209.8516,1.8544,86.4566,0.947
68000,,,,,,4814.3052,-44.1823,-44.1823,4822.0713,31521.0527,2.0442,88.3071,0.7512
68007,,,615,-135.155,82.734,,,,,,,,
68500,,,,,,5010.6436,-44.1823,-44.1823,5018.1479,30193.543,1.2737,79.644,0.8209
68593,,,586,-143.133,83.2814,,,,,,,,
69000,,,,,,4091.3184,-44.1823,-44.1823,4099.2808,21688.9375,1.6148,87.6912,0.9136
69500,,,,,,4792.4312,-44.1823,-44.1823,4799.1846,34761.7773,2.2578,106.1431,0.7283
70000,,,,,,4494.8926,-44.1823,-44.1823,4503.3037,29687.7793,1.0968,101.1264,1.0021
70000,-128.1851,978.0,,,,,,,,,,,
70193,,,1600,-143.5988,57.7915,,,,,,,,
70500,,,,,,4532.3218,-44.1823,-44.1823,4539.605,26182.2715,2.0208,76.0355,0.7795
71000,,,,,,4272.6187,-44.1823,-44.1823,4280.4971,35422.207,1.4141,76.7457,0.7403
71500,,,,,,4464.4072,-44.1823,-44.1823,4472.0586,24951.8926,1.0587,55.6374,0.7032
71793,,,1600,-2.2065,82.4805,,,,,,,,
72000,,,,,,4401.5928,-44.1823,-44.1823,4409.6626,29847.9727,1.3993,64.0181,0.9669
72500,,,,,,4678.5117,-44.1823,-44.1823,4685.854,39880.3789,1.8111,85.6704,0.5352
73000,,,,,,4502.623,-44.1823,-44.1823,4509.7373,38592.2812,1.1882,110.4922,0.7301
73393,,,1600,-112.0856,82.4903,,,,,,,,
73500,,,,,,4879.8198,-44.1823,-44.1823,4886.3691,31983.3633,0.8266,78.587,0.6227
74000,,,,,,4675.6572,-44.1823,-44.1823,4681.6938,33942.7695,1.1103,79.4102,0.8165
74500,,,,,,4827.1968,-44.1823,-44.1823,4834.936,27363.7363,1.4153,58.0522,0.5647
74993,,,1600,-92.233,82.6506,,,,,,,,
75000,,,,,,4371.8203,-44.1823,-44.1823,4380.8281,35926.0234,0.7285,46.9282,0.558
