env_steps,return,length,z_dist,r_dist,transition_dist,alm_loss,model_grad_norm,aux_loss,bisim_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
61500,,,1.1815,0.6267,0.4793,123.7616,7.6425,1.3417,-0.4883,0.7592,9.5687,0.7529,,,
62000,,,1.2081,0.6107,0.492,125.9242,8.9216,1.3616,-0.4733,0.8382,10.1657,0.7389,,,
62000,,,,,,,,,,,,,1000,96.2894,47.6123
62500,,,1.1962,0.615,0.4732,116.9048,9.9532,1.2674,-0.4619,1.1471,31.7908,1.1569,,,
63000,,,1.179,0.5984,0.4678,110.1497,5.7962,1.196,-0.474,0.9085,9.6956,1.0296,,,
63000,,,,,,,,,,,,,1000,88.1067,48.3073
63500,,,1.1701,0.6056,0.4663,113.6542,6.7371,1.2233,-0.4571,0.8562,12.8,0.8133,,,
64000,,,1.2626,0.6258,0.2941,62.0643,17.6337,0.7052,-0.2582,3.2446,29.5017,2.4012,,,
64000,,,,,,,,,,,,,1000,-111.154,47.4272
64500,,,1.3092,0.6257,0.3647,61.874,20.1641,0.7187,-0.3383,1.918,12.9952,0.419,,,
65000,,,1.1312,0.6527,0.3175,103.8015,47.1103,1.1711,-0.281,2.7244,36.3194,0.7489,,,
65000,-531.7799,1000.0,,,,,,,,,,,,,
65000,,,,,,,,,,,,,1000,-131.8076,45.0279
65500,,,1.1445,0.6749,0.2629,41.9217,19.2582,0.5838,-0.2531,1.9526,18.2543,0.6572,,,
66000,,,1.2807,0.6348,0.4501,101.1367,27.0198,1.1881,-0.4301,1.7119,16.0687,0.8119,,,
66000,,,,,,,,,,,,,1000,-371.7919,48.7991
66500,,,1.2578,0.6055,0.4411,96.6573,31.6097,1.1482,-0.4127,1.9549,19.9048,0.7577,,,
67000,,,1.0694,0.6299,0.3091,97.7881,52.5888,1.1782,-0.2626,3.1609,18.0012,2.3368,,,
67000,,,,,,,,,,,,,1000,-91.5834,47.8365
67500,,,1.2069,0.629,0.2531,23.4071,24.8004,0.443,-0.2287,2.4863,30.8866,0.5224,,,
68000,,,1.2342,0.6131,0.4653,89.2319,7.3846,1.0925,-0.4568,1.6557,19.1948,1.1676,,,
68000,,,,,,,,,,,,,1000,-373.1215,47.6842
68500,,,1.2179,0.6288,0.4857,107.6735,7.1525,1.269,-0.4561,1.4062,45.3139,0.9132,,,
69000,,,1.2126,0.5957,0.4959,109.5874,5.5893,1.2801,-0.4726,1.3473,53.6927,0.5352,,,
69000,,,,,,,,,,,,,1000,-480.2905,48.9086
69500,,,1.1624,0.5866,0.4641,99.1306,6.2727,1.1785,-0.4751,1.4892,44.7025,0.8399,,,
70000,,,1.2214,0.5825,0.4956,104.3798,6.7635,1.2352,-0.4355,1.507,34.3151,0.6777,,,
70000,-96.1489,1000.0,,,,,,,,,,,,,
70000,,,,,,,,,,,,,1000,-313.5893,44.6225
70500,,,1.216,0.6225,0.4959,113.7549,8.0742,1.3329,-0.4883,1.4516,24.7468,0.5701,,,
71000,,,1.2459,0.6281,0.5051,110.4905,7.1827,1.3055,-0.4885,1.5206,45.0148,1.2323,,,
71000,,,,,,,,,,,,,1000,-209.4859,48.3762
71500,,,1.1791,0.5792,0.4629,93.8067,6.4813,1.143,-0.4562,1.0879,18.0957,1.1278,,,
72000,,,1.1743,0.6345,0.4641,103.2086,9.4042,1.2426,-0.4739,0.7418,23.9462,0.4954,,,
72000,,,,,,,,,,,,,1000,-174.1125,47.8386
72500,,,1.2185,0.5843,0.4893,97.4688,5.531,1.1819,-0.4584,1.0919,25.3625,0.7629,,,
73000,,,1.1809,0.6133,0.4707,104.5577,6.751,1.2617,-0.4795,0.6555,7.9586,0.4701,,,
73000,,,,,,,,,,,,,1000,-254.1384,48.0029
73500,,,1.1807,0.6168,0.4779,112.7222,5.9759,1.3357,-0.4631,0.5729,13.7514,0.7029,,,
74000,,,1.2044,0.5957,0.4893,107.227,8.8379,1.2783,-0.4537,0.7302,25.5941,0.8759,,,
74000,,,,,,,,,,,,,1000,-155.7509,48.6357
74500,,,1.1643,0.6098,0.4629,108.0185,6.2231,1.2856,-0.4468,0.7563,8.8182,0.3764,,,
