env_steps,return,length,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
84000,,,,,,,,,,500,-2800.1398,74.4429
84500,,,7205.6084,7561.4814,567407.25,7205.6084,177.1331,7322.0439,4.8977,,,
84500,,,,,,,,,,500,-1604.4843,75.2672
85000,,,7340.9336,7695.8633,454949.1875,7340.9336,282.7481,8666.7539,6.2064,,,
85000,-10399.1458,500.0,,,,,,,,,,
85000,,,,,,,,,,500,-2732.0362,56.8502
85500,,,7505.1167,7860.3125,417774.125,7505.1167,202.2159,6392.1709,5.4109,,,
85500,,,,,,,,,,500,-3037.9179,75.777
86000,,,6888.6416,7243.8594,285128.0625,6888.6416,54.6715,5759.3726,4.5289,,,
86000,,,,,,,,,,500,-2775.6474,80.4005
86500,,,7830.73,8186.771,510118.125,7830.73,238.2694,12593.3418,4.8567,,,
86500,,,,,,,,,,500,-2026.2788,74.7882
87000,,,7635.2495,7984.5923,481191.5312,7635.2495,203.1933,5635.5913,4.8732,,,
87000,,,,,,,,,,500,-2590.8229,75.3532
87500,,,7361.2314,7716.6377,428719.6875,7361.2314,235.6735,8929.918,8.7274,,,
87500,,,,,,,,,,500,-2974.2771,77.5224
88000,,,7024.9326,7377.9126,439924.6562,7024.9326,68.4227,5023.4966,7.0926,,,
88000,,,,,,,,,,500,-2029.5768,76.0239
88500,,,6805.3032,7155.8926,393355.9688,6805.3032,92.8285,6865.2271,5.5478,,,
88500,,,,,,,,,,500,-1634.2738,74.4908
89000,,,7587.3838,7927.2407,522616.8438,7587.3838,146.5132,4097.9453,3.5149,,,
89000,,,,,,,,,,500,-2495.1246,74.6151
89500,,,6319.4663,6667.8232,272489.3438,6319.4663,135.7613,4332.0278,5.4184,,,
89500,,,,,,,,,,500,-1090.3936,75.8817
90000,,,7222.6699,7562.2598,252319.125,7222.6699,67.8205,5666.3008,4.9587,,,
90000,-8659.6508,500.0,,,,,,,,,,
90000,,,,,,,,,,500,-4630.692,55.3158
90500,,,7728.8066,8073.3491,330318.4062,7728.8066,151.6087,9713.9297,4.5644,,,
90500,,,,,,,,,,500,-1542.8338,75.3393
