env_steps,return,length,train/length,train/return,FPS,rank-3,rank-2,rank-1,cond,fkl,prior_entropy,posterior_entropy,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
14237,,,34,180.6145,21.6071,,,,,,,,,,,,,
14272,,,35,188.3,21.8228,,,,,,,,,,,,,
14320,,,48,228.041,23.5072,,,,,,,,,,,,,
14360,,,40,211.5423,22.9916,,,,,,,,,,,,,
14397,,,37,196.989,22.8478,,,,,,,,,,,,,
14417,,,20,98.7474,21.9922,,,,,,,,,,,,,
14460,,,43,228.9016,24.2875,,,,,,,,,,,,,
14500,,,,,,50,50,35,17.7008,99.2832,54.2627,-44.1773,-216.4426,92.4489,99.2832,329.0676,1003.4234,2.2854
14510,,,50,253.2753,24.6925,,,,,,,,,,,,,
14529,,,19,90.6031,28.4633,,,,,,,,,,,,,
14560,,,31,163.7069,25.644,,,,,,,,,,,,,
14593,,,33,170.1701,22.4721,,,,,,,,,,,,,
14641,,,48,252.5687,22.597,,,,,,,,,,,,,
14705,,,64,301.0219,24.3377,,,,,,,,,,,,,
14731,,,26,119.113,26.406,,,,,,,,,,,,,
14779,,,48,212.6497,21.332,,,,,,,,,,,,,
14813,,,34,179.6741,23.9965,,,,,,,,,,,,,
14872,,,59,318.7005,22.7748,,,,,,,,,,,,,
14927,,,55,230.2928,23.3115,,,,,,,,,,,,,
14947,,,20,97.0694,21.9506,,,,,,,,,,,,,
15000,,,,,,50,50,35,19.7851,100.9663,57.8663,-44.1811,-223.9502,85.354,100.9663,337.3354,1096.4379,1.8852
15000,282.8518,57.3,,,,,,,,,,,,,,,,
15039,,,92,475.9566,18.3584,,,,,,,,,,,,,
15088,,,49,265.39,23.2312,,,,,,,,,,,,,
15158,,,70,318.0836,26.2855,,,,,,,,,,,,,
15179,,,21,100.939,28.4672,,,,,,,,,,,,,
15200,,,21,102.4827,29.6591,,,,,,,,,,,,,
15223,,,23,108.0474,21.2079,,,,,,,,,,,,,
15253,,,30,140.9781,22.442,,,,,,,,,,,,,
15318,,,65,330.7836,23.057,,,,,,,,,,,,,
15339,,,21,98.8787,23.3647,,,,,,,,,,,,,
15357,,,18,85.9583,25.0531,,,,,,,,,,,,,
15377,,,20,97.6887,23.1247,,,,,,,,,,,,,
15428,,,51,285.1099,23.6264,,,,,,,,,,,,,
15463,,,35,174.1398,24.3896,,,,,,,,,,,,,
15500,,,,,,50,50,37,16.5496,100.3346,55.678,-44.1787,-256.4673,99.0429,100.3346,379.6398,1981.2175,1.9338
15540,,,77,355.0944,22.7662,,,,,,,,,,,,,
15606,,,66,299.3895,24.264,,,,,,,,,,,,,
15661,,,55,288.9012,25.6393,,,,,,,,,,,,,
