env_steps,return,length,train/length,train/return,FPS,rkl,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
33500,,,,,,2991.9265,3004.2407,17273.7617,2991.9265,2.5507,144.2421,0.6467
33998,,,1114,-215.8835,84.9119,,,,,,,
34000,,,,,,2919.1721,2930.6594,19405.5898,2919.1721,2.7653,111.8601,0.5711
34357,,,359,-159.117,85.0353,,,,,,,
34500,,,,,,3038.093,3050.5398,18634.5684,3038.093,2.4251,75.7825,0.5037
35000,,,,,,2939.782,2951.7549,21904.4375,2939.782,2.3012,135.816,0.627
35000,-179.1159,1066.0,,,,,,,,,,
35500,,,,,,3227.9629,3239.7705,19878.1973,3227.9629,2.3184,143.0321,0.5114
35957,,,1600,-126.4083,69.315,,,,,,,
36000,,,,,,3224.9514,3235.8882,19349.9355,3224.9514,2.4334,88.2381,0.7468
36500,,,,,,3018.1465,3030.8484,22625.4648,3018.1465,2.8184,143.2269,0.735
37000,,,,,,3102.5615,3113.9993,23590.3555,3102.5615,2.3862,269.0259,0.5515
37500,,,,,,3002.7986,3014.4531,26086.4805,3002.7986,2.2637,157.7327,0.6895
37557,,,1600,-126.0605,85.0276,,,,,,,
37739,,,182,-121.4835,83.5073,,,,,,,
38000,,,,,,3347.3259,3356.731,22138.5488,3347.3259,2.8452,138.9272,0.9572
38500,,,,,,3402.1567,3413.2703,25079.3438,3402.1567,2.2866,124.728,1.0105
39000,,,,,,3236.5493,3247.77,17858.5684,3236.5493,2.2309,153.4396,0.7941
39339,,,1600,-138.8465,84.3478,,,,,,,
39500,,,,,,3520.2957,3529.5493,22451.1602,3520.2957,1.8821,118.4348,0.7423
39681,,,342,-119.2462,87.1681,,,,,,,
40000,,,,,,3409.5449,3418.8601,33146.5234,3409.5449,2.166,170.8136,0.7181
40000,-145.663,749.0,,,,,,,,,,
40078,,,397,-137.6907,52.2335,,,,,,,
40172,,,94,-102.7924,83.9896,,,,,,,
40352,,,180,-119.4635,83.6011,,,,,,,
40436,,,84,-110.5301,85.3802,,,,,,,
40500,,,,,,3391.9099,3402.6711,26158.1562,3391.9099,2.2795,107.326,0.727
40786,,,350,-118.9527,84.2807,,,,,,,
41000,,,,,,3528.6001,3538.7834,22728.8984,3528.6001,2.1847,83.7066,0.6564
41500,,,,,,3336.4683,3346.5781,29097.2051,3336.4683,2.5796,116.3056,0.8118
42000,,,,,,3262.855,3274.762,19051.0859,3262.855,1.7913,144.2093,1.0927
42386,,,1600,-133.638,84.5146,,,,,,,
42500,,,,,,3576.8057,3587.2739,21767.9336,3576.8057,1.9631,147.2237,0.6
42607,,,221,-115.6892,85.1928,,,,,,,
42926,,,319,-110.6158,84.2758,,,,,,,
43000,,,,,,3671.5317,3683.2803,28336.9629,3671.5317,2.3433,144.6677,1.0513
43040,,,114,-109.2979,83.6582,,,,,,,
43149,,,109,-115.5821,83.5676,,,,,,,
43241,,,92,-117.1626,85.6676,,,,,,,
43500,,,,,,3639.3677,3649.8359,26460.1328,3639.3677,2.192,110.7556,0.7299
44000,,,,,,3451.3242,3462.0046,28769.5625,3451.3242,2.5241,152.2042,0.8895
44500,,,,,,3880.6648,3891.5771,31203.2402,3880.6648,1.7598,106.6697,0.8556
44841,,,1600,-118.6561,84.2545,,,,,,,
44961,,,120,-115.218,85.81,,,,,,,
45000,,,,,,3697.6763,3709.2439,21515.2168,3697.6763,3.1726,152.7099,0.916
45000,-150.3752,690.9,,,,,,,,,,
45233,,,272,-132.1576,45.1752,,,,,,,
45384,,,151,-118.2672,86.0003,,,,,,,
