env_steps,return,length,alm_loss,model_grad_norm,aux_loss,wass_critic_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
97000,,,-438.0847,5.6189,0.0021,-0.0366,2.3801,100.5788,9.4154,,,
97000,,,,,,,,,,1000,5280.8119,88.2243
97500,,,-438.7383,5.8269,0.0022,-0.0371,2.3788,165.8657,7.8633,,,
98000,,,-439.753,5.1721,0.0025,-0.0388,2.9184,371.9525,6.1811,,,
98000,,,,,,,,,,1000,5345.1811,85.5833
98500,,,-440.5015,3.8377,0.002,-0.0345,2.7201,279.4994,3.8301,,,
99000,,,-446.8751,4.2691,0.002,-0.0332,2.2781,235.0113,4.9554,,,
99000,,,,,,,,,,1000,5470.7118,81.8358
99500,,,-447.5207,4.7671,0.0021,-0.037,2.3295,210.2463,8.1059,,,
100000,,,-445.1661,3.9884,0.0024,-0.0385,2.2895,271.8844,7.162,,,
100000,5586.607,1000.0,,,,,,,,,,
100000,,,,,,,,,,1000,5419.7632,76.9465
100500,,,-447.3624,5.0892,0.0024,-0.0374,2.512,179.543,7.9235,,,
101000,,,-450.9645,3.7101,0.0024,-0.0389,2.3398,227.8676,4.9716,,,
101000,,,,,,,,,,1000,5485.2308,80.8095
101500,,,-456.1156,4.6395,0.0022,-0.0369,2.3731,290.2801,6.2058,,,
102000,,,-456.9623,4.0587,0.002,-0.0351,2.3821,282.5954,5.6308,,,
102000,,,,,,,,,,1000,5435.3303,82.1568
102500,,,-457.5305,4.8614,0.0021,-0.0352,2.0436,169.936,4.2212,,,
103000,,,-463.4799,5.4846,0.0023,-0.0377,2.2376,78.9826,6.9146,,,
103000,,,,,,,,,,1000,5508.3742,83.674
103500,,,-464.194,3.7937,0.0022,-0.0361,2.5031,321.6382,4.1409,,,
104000,,,-463.6848,3.7389,0.0021,-0.0357,2.3394,243.7885,4.7391,,,
104000,,,,,,,,,,1000,5526.699,83.1175
104500,,,-467.7844,4.2809,0.0021,-0.0356,2.3908,184.7661,6.3596,,,
105000,,,-474.0043,4.1322,0.002,-0.0348,2.4623,175.5334,4.6673,,,
105000,5688.4996,1000.0,,,,,,,,,,
105000,,,,,,,,,,1000,5445.332,72.1268
105500,,,-475.3971,4.1193,0.0018,-0.0328,2.4378,263.442,6.4487,,,
106000,,,-476.6731,3.4025,0.0021,-0.0361,2.3234,159.565,3.606,,,
106000,,,,,,,,,,1000,5516.8567,88.4186
106500,,,-478.1026,4.7145,0.0023,-0.0373,2.6532,352.8517,5.5323,,,
107000,,,-477.1833,4.1831,0.0019,-0.0334,2.4862,221.4378,7.7118,,,
107000,,,,,,,,,,1000,5625.0174,83.1577
107500,,,-477.0187,4.3233,0.002,-0.0356,2.8453,313.4923,5.531,,,
108000,,,-477.6643,4.5929,0.0019,-0.0342,2.3038,185.9377,5.0721,,,
108000,,,,,,,,,,1000,5626.6964,84.1515
108500,,,-486.5991,4.4708,0.0019,-0.034,2.363,216.6602,6.8535,,,
109000,,,-488.6775,4.4954,0.0017,-0.0328,2.3577,233.9008,4.9686,,,
109000,,,,,,,,,,1000,5534.5939,88.2996
109500,,,-488.1889,3.7643,0.0018,-0.0331,1.9804,75.2087,4.2699,,,
110000,,,-489.2314,5.2176,0.0019,-0.0343,2.6109,341.5009,4.2492,,,
110000,5811.1483,1000.0,,,,,,,,,,
110000,,,,,,,,,,1000,5597.8697,75.14
110500,,,-489.6651,4.585,0.002,-0.0349,2.1962,269.8313,3.3439,,,
111000,,,-489.8503,4.5012,0.0021,-0.0356,2.0666,176.7557,7.786,,,
111000,,,,,,,,,,1000,5623.0835,84.9947
111500,,,-494.7474,2.895,0.002,-0.0356,2.2287,183.7364,5.5102,,,
112000,,,-494.1119,2.9964,0.0018,-0.0324,2.5192,332.0791,3.8654,,,
112000,,,,,,,,,,1000,5613.6059,82.8861
112500,,,-498.1898,3.9199,0.002,-0.0348,2.2989,284.8059,5.2403,,,
113000,,,-494.648,3.1211,0.0018,-0.0332,2.059,147.2718,3.0557,,,
113000,,,,,,,,,,1000,5717.6631,83.7573
113500,,,-496.8882,4.4761,0.0017,-0.0307,2.0471,184.7236,5.1269,,,
114000,,,-498.5076,3.6563,0.0018,-0.0327,2.482,306.6308,5.1499,,,
114000,,,,,,,,,,1000,5585.4803,83.5833
114500,,,-501.1388,4.3292,0.0019,-0.0335,2.6025,342.9529,7.6184,,,
