env_steps,return,length,op-l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm,train/length,train/return,FPS
75500,,,4.133,-463.5899,103.8249,4.133,5.1554,321.1959,8.3994,,,
76000,,,4.4891,-469.6834,151.4085,4.4891,4.8906,227.1759,10.8687,,,
76000,,,,,,,,,,1000,5756.7666,106.851
76500,,,4.3174,-465.9678,143.1849,4.3174,5.625,235.7672,13.9634,,,
77000,,,4.0005,-472.1282,160.4775,4.0005,5.3376,387.6456,5.5664,,,
77000,,,,,,,,,,1000,5936.3638,106.7201
77500,,,4.847,-461.8658,213.6675,4.847,4.7107,160.9975,6.8028,,,
78000,,,3.9555,-466.2272,93.0931,3.9555,5.2517,334.4316,11.8591,,,
78000,,,,,,,,,,1000,6105.4799,106.5431
78500,,,4.1129,-467.9683,175.7128,4.1129,5.5726,251.2277,12.6047,,,
79000,,,4.2214,-479.8079,149.1502,4.2214,5.3122,329.8021,7.0183,,,
79000,,,,,,,,,,1000,6019.201,106.697
79500,,,3.8492,-477.9776,86.8336,3.8492,5.6656,276.3242,10.3007,,,
80000,,,3.8811,-478.4779,168.2829,3.8811,4.5583,278.703,7.229,,,
80000,6809.2422,1000.0,,,,,,,,,,
80000,,,,,,,,,,1000,6119.2865,95.9768
80500,,,4.632,-481.2633,165.4384,4.632,6.4425,740.5961,8.2835,,,
81000,,,4.7581,-484.868,168.0128,4.7581,4.887,191.953,12.0841,,,
81000,,,,,,,,,,1000,6337.5113,110.7429
81500,,,3.7663,-487.4337,151.4932,3.7663,4.6657,249.3708,7.5715,,,
82000,,,4.2385,-489.7748,153.5921,4.2385,5.0845,217.6608,6.1679,,,
82000,,,,,,,,,,1000,6150.0306,110.8593
82500,,,4.2566,-492.4597,143.7126,4.2566,4.3517,250.5027,6.6295,,,
83000,,,3.9277,-487.2654,144.9193,3.9277,5.6183,214.1093,11.3144,,,
83000,,,,,,,,,,1000,6441.0769,107.1607
83500,,,3.8428,-490.7039,144.6455,3.8428,5.7905,174.6201,11.1314,,,
84000,,,4.0399,-497.5452,167.5817,4.0399,4.9189,248.1232,9.2366,,,
84000,,,,,,,,,,1000,6609.3186,106.7835
84500,,,4.2049,-500.6051,139.812,4.2049,4.401,317.5425,14.752,,,
85000,,,4.0108,-494.6188,160.2105,4.0108,5.8692,251.5926,9.7773,,,
85000,7364.5811,1000.0,,,,,,,,,,
85000,,,,,,,,,,1000,6439.9966,93.2435
85500,,,3.7873,-507.1394,131.5799,3.7873,5.023,384.9042,6.3947,,,
86000,,,3.9478,-498.3668,123.7316,3.9478,5.3562,375.4584,13.0842,,,
86000,,,,,,,,,,1000,6393.9419,106.64
86500,,,4.1794,-494.4163,150.663,4.1794,5.6259,327.0777,4.8601,,,
87000,,,4.2683,-510.336,129.4119,4.2683,5.0577,281.5422,9.6275,,,
87000,,,,,,,,,,1000,6476.6119,106.7282
87500,,,3.7572,-503.7071,142.3585,3.7572,4.9366,359.7113,6.6334,,,
88000,,,3.6807,-513.1711,86.1024,3.6807,4.6706,277.4108,10.9801,,,
88000,,,,,,,,,,1000,6759.9584,106.6077
88500,,,3.5162,-511.7679,94.898,3.5162,4.5262,351.1971,7.1328,,,
89000,,,3.9511,-517.8652,131.8617,3.9511,4.6911,263.4908,8.548,,,
89000,,,,,,,,,,1000,6881.3898,106.7245
89500,,,3.782,-514.6816,115.7592,3.782,6.3341,364.0328,8.1961,,,
90000,,,3.526,-522.0759,171.8756,3.526,5.5375,427.2473,8.7571,,,
90000,7508.7692,1000.0,,,,,,,,,,
90000,,,,,,,,,,1000,7023.5502,93.1936
90500,,,4.369,-519.6299,233.3835,4.369,5.6436,255.4461,11.3146,,,
91000,,,4.3378,-531.1232,213.7027,4.3378,5.6017,231.4659,7.3972,,,
91000,,,,,,,,,,1000,6896.6412,106.5897
91500,,,3.711,-527.6258,169.7008,3.711,6.4586,336.2516,8.042,,,
92000,,,4.1582,-528.7388,180.7182,4.1582,4.9042,376.3315,4.9304,,,
92000,,,,,,,,,,1000,6850.341,106.5595
92500,,,3.8944,-527.4461,188.8335,3.8944,5.8843,311.6244,13.461,,,
93000,,,3.2868,-532.8521,106.0401,3.2868,5.0009,176.2747,14.0024,,,
93000,,,,,,,,,,1000,7032.253,106.6601
93500,,,4.0168,-535.6316,214.5703,4.0168,4.2646,273.3975,8.2486,,,
94000,,,4.1384,-537.6594,260.3396,4.1384,6.3502,233.2308,5.9865,,,
94000,,,,,,,,,,1000,7028.1426,106.7867
94500,,,3.6362,-540.3501,159.0583,3.6362,4.9783,371.7532,12.8588,,,
95000,,,3.9918,-540.3721,243.2049,3.9918,4.3484,168.3058,9.9459,,,
95000,7624.7531,1000.0,,,,,,,,,,
95000,,,,,,,,,,1000,7226.6259,93.6258
95500,,,3.6778,-548.6031,200.0813,3.6778,5.8405,269.7017,10.4255,,,
96000,,,3.9229,-546.6346,244.1279,3.9229,5.1199,225.4892,8.7346,,,
96000,,,,,,,,,,1000,7207.5973,109.6984
96500,,,3.8137,-550.4821,238.329,3.8137,4.448,259.1137,8.8474,,,
97000,,,3.6043,-551.4035,122.3673,3.6043,4.7698,297.8205,11.693,,,
97000,,,,,,,,,,1000,7308.3555,107.8293
97500,,,3.7233,-557.0687,258.1931,3.7233,3.9163,265.2287,9.1808,,,
98000,,,3.8254,-556.3387,139.968,3.8254,4.8815,337.0593,18.2526,,,
98000,,,,,,,,,,1000,7312.9543,106.7444
98500,,,3.6158,-559.2994,118.1273,3.6158,5.3787,422.5556,13.0376,,,
99000,,,3.5626,-569.1866,117.0236,3.5626,6.0599,183.8069,7.528,,,
99000,,,,,,,,,,1000,7519.0318,106.8052
99500,,,3.3367,-569.3708,145.3924,3.3367,4.6214,177.4724,7.7123,,,
100000,,,3.3669,-569.2327,149.6199,3.3669,4.4687,283.3467,8.8733,,,
100000,7809.2733,1000.0,,,,,,,,,,
100000,,,,,,,,,,1000,7595.0109,93.1413
100500,,,3.3518,-567.1373,97.3854,3.3518,4.8614,197.3358,7.2773,,,
101000,,,3.2146,-574.8893,158.6535,3.2146,5.5422,182.2333,9.8371,,,
101000,,,,,,,,,,1000,7492.1419,104.1924
101500,,,3.5163,-580.4499,161.515,3.5163,7.2234,204.3039,6.7708,,,
102000,,,3.4717,-585.1802,114.1407,3.4717,6.0848,355.2598,10.4152,,,
102000,,,,,,,,,,1000,7513.0424,106.6275
102500,,,3.2344,-593.5681,149.2942,3.2344,5.0097,517.5899,14.8057,,,
103000,,,3.8438,-597.1258,163.8769,3.8438,4.3183,221.4837,8.7974,,,
103000,,,,,,,,,,1000,7669.1609,106.4466
103500,,,3.3547,-596.3148,114.9945,3.3547,4.6872,410.6205,14.0431,,,
104000,,,3.0419,-595.7789,119.326,3.0419,6.1872,449.5193,11.0367,,,
104000,,,,,,,,,,1000,7611.8837,106.632
104500,,,3.426,-601.7554,158.5451,3.426,5.9994,606.2326,18.0418,,,
105000,,,3.044,-610.9839,170.9935,3.044,4.31,298.109,12.388,,,
105000,7938.4293,1000.0,,,,,,,,,,
105000,,,,,,,,,,1000,7592.8135,90.8998
105500,,,3.1731,-612.1393,141.8884,3.1731,4.1424,262.4918,13.5342,,,
106000,,,3.6175,-614.928,281.9285,3.6175,5.4019,315.8107,8.467,,,
106000,,,,,,,,,,1000,7772.7961,106.6809
106500,,,2.8901,-621.3969,101.1528,2.8901,5.3934,312.7508,13.033,,,
107000,,,3.5727,-619.2878,136.8625,3.5727,4.6352,280.9359,11.8202,,,
107000,,,,,,,,,,1000,7714.6446,106.5591
107500,,,3.1461,-619.8303,191.4844,3.1461,5.185,388.5678,6.239,,,
108000,,,3.0637,-624.1161,109.6921,3.0637,5.8667,391.7514,9.0713,,,
108000,,,,,,,,,,1000,7775.3378,106.5098
108500,,,2.7325,-635.3134,164.1686,2.7325,5.6725,606.5273,13.6703,,,
109000,,,3.2908,-636.8005,185.8552,3.2908,5.3403,284.2982,14.0344,,,
109000,,,,,,,,,,1000,7816.0045,107.9212
109500,,,3.3337,-635.6573,232.6058,3.3337,4.9496,278.6673,12.9041,,,
110000,,,3.1253,-638.8588,178.1493,3.1253,5.9975,235.7077,16.1265,,,
110000,7990.1569,1000.0,,,,,,,,,,
110000,,,,,,,,,,1000,8109.0694,93.2649
110500,,,3.6028,-638.1187,189.0625,3.6028,5.5536,501.3382,10.4927,,,
111000,,,2.602,-640.4221,159.9313,2.602,5.7334,433.429,9.9617,,,
111000,,,,,,,,,,1000,7789.5428,106.5236
111500,,,3.6031,-645.4932,154.6456,3.6031,5.2441,494.3199,15.6228,,,
112000,,,3.3103,-645.7473,199.9577,3.3103,5.6341,420.9751,12.0959,,,
112000,,,,,,,,,,1000,7913.9254,106.6564
112500,,,3.3813,-653.4597,232.0735,3.3813,4.912,230.5792,6.9438,,,
113000,,,3.2046,-649.8527,170.1946,3.2046,6.2328,411.6392,18.0768,,,
113000,,,,,,,,,,1000,7899.5955,106.7184
113500,,,3.2986,-652.0544,228.7737,3.2986,4.5989,318.5561,5.9471,,,
114000,,,2.8608,-655.2496,172.5049,2.8608,5.4909,370.3448,7.2833,,,
114000,,,,,,,,,,1000,7950.2602,106.9425
114500,,,3.0379,-659.3189,200.8083,3.0379,4.7165,427.7719,8.9254,,,
115000,,,3.3081,-664.4917,156.5342,3.3081,5.865,556.8986,7.7339,,,
115000,8222.9952,1000.0,,,,,,,,,,
115000,,,,,,,,,,1000,7874.0884,92.5989
115500,,,3.0837,-663.8959,180.2176,3.0837,5.2202,390.5819,7.3311,,,
116000,,,3.2327,-666.5162,199.4693,3.2327,4.682,444.3715,9.6271,,,
116000,,,,,,,,,,1000,7817.3115,108.0504
116500,,,2.9162,-668.0142,179.6724,2.9162,5.3932,345.5966,8.9757,,,
