env_steps,return,length,train/length,train/return,FPS,op-l2,alm_loss,model_grad_norm,aux_loss,critic_loss,critic_grad_norm,actor_grad_norm
25806,,,26,5.2823,106.6738,,,,,,,
25834,,,28,7.7816,106.7561,,,,,,,
25905,,,71,59.871,106.9377,,,,,,,
25913,,,8,-2.4688,106.4207,,,,,,,
25950,,,37,14.8684,106.9173,,,,,,,
26000,,,,,,20.2432,-359.0113,186.6301,20.2432,398.5428,9893.0605,8.6573
26024,,,74,52.4678,106.5992,,,,,,,
26277,,,253,309.0588,106.6445,,,,,,,
26427,,,150,169.1234,106.2215,,,,,,,
26450,,,23,-0.3725,107.0771,,,,,,,
26500,,,,,,19.1986,-374.7984,210.0627,19.1986,255.3848,4743.9556,8.9514
26531,,,81,66.3896,106.7351,,,,,,,
26704,,,173,28.6358,110.679,,,,,,,
26714,,,10,-3.5886,110.4692,,,,,,,
26750,,,36,23.5713,111.1676,,,,,,,
26875,,,125,133.4953,110.7305,,,,,,,
26899,,,24,3.3754,110.6213,,,,,,,
26938,,,39,18.5482,110.6328,,,,,,,
26949,,,11,-6.3407,110.9393,,,,,,,
27000,,,,,,18.7844,-366.3323,204.4704,18.7844,384.4811,17487.291,34.5204
27045,,,96,104.3462,107.3811,,,,,,,
27243,,,198,275.6077,106.7862,,,,,,,
27289,,,46,31.3275,106.6147,,,,,,,
27300,,,11,-6.1179,106.7164,,,,,,,
27313,,,13,-6.0722,106.3898,,,,,,,
27322,,,9,-4.4356,106.9642,,,,,,,
27339,,,17,-4.7321,106.9597,,,,,,,
27357,,,18,-3.4281,106.869,,,,,,,
27496,,,139,138.8611,106.894,,,,,,,
27500,,,,,,18.6547,-377.8884,151.0185,18.6547,357.7432,6388.3242,15.917
27623,,,127,101.5823,106.8272,,,,,,,
27724,,,101,110.5578,106.9996,,,,,,,
27848,,,124,175.9712,106.3692,,,,,,,
27877,,,29,6.8003,106.019,,,,,,,
27899,,,22,-1.7005,106.3569,,,,,,,
28000,,,,,,16.562,-399.5933,159.2098,16.562,395.1136,15294.4814,12.9968
28041,,,142,188.4573,106.0493,,,,,,,
28193,,,152,278.9649,109.3408,,,,,,,
28202,,,9,-2.9911,110.2436,,,,,,,
28228,,,26,-0.4114,110.5749,,,,,,,
28290,,,62,70.1871,110.5302,,,,,,,
28299,,,9,-5.7024,110.4543,,,,,,,
28331,,,32,13.556,110.0164,,,,,,,
28500,,,,,,17.8002,-394.7343,124.8831,17.8002,354.2388,10726.001,13.2542
28548,,,217,416.2683,110.3131,,,,,,,
28574,,,26,-1.9009,110.3093,,,,,,,
28656,,,82,46.9943,110.5281,,,,,,,
28667,,,11,-6.5725,110.2451,,,,,,,
28687,,,20,-6.9115,110.1519,,,,,,,
28709,,,22,-0.2546,110.3252,,,,,,,
28797,,,88,52.7918,110.2619,,,,,,,
28817,,,20,-2.4745,110.2637,,,,,,,
28836,,,19,-5.551,110.4506,,,,,,,
28891,,,55,31.9412,110.3847,,,,,,,
28996,,,105,106.2698,110.3009,,,,,,,
29000,,,,,,18.7029,-396.1523,201.0472,18.7029,347.4359,6415.9438,12.5305
29029,,,33,15.7329,110.5293,,,,,,,
29057,,,28,6.1341,110.5158,,,,,,,
29100,,,43,20.7691,110.2442,,,,,,,
29124,,,24,1.0425,110.3563,,,,,,,
29143,,,19,-4.6643,110.3509,,,,,,,
29174,,,31,10.5261,107.238,,,,,,,
29192,,,18,-6.0319,106.9071,,,,,,,
29374,,,182,306.724,106.2721,,,,,,,
29500,,,,,,17.5692,-401.3414,162.3536,17.5692,499.6927,21445.4492,12.1641
29619,,,245,224.5543,106.475,,,,,,,
29684,,,65,36.9243,106.3836,,,,,,,
29901,,,217,321.26,106.464,,,,,,,
30000,,,,,,16.6259,-417.1852,169.2689,16.6259,571.0583,14060.583,18.6338
30000,310.5962,464.1,,,,,,,,,,
30127,,,226,225.3281,74.6597,,,,,,,
30148,,,21,-1.822,106.0729,,,,,,,
30237,,,89,57.1255,106.0277,,,,,,,
30259,,,22,-0.0112,106.2353,,,,,,,
